a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.510000 	 0.330000 	 0.350000 	 0.340000 	 8.230000 	 4.620000 	 5.030000 	 4.820000 	 1556.070000 	 2459.450000 	 2664.940000 	 2560.130000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.560000 	 0.310000 	 0.340000 	 0.320000 	 9.560000 	 4.240000 	 4.840000 	 4.530000 	 1544.320000 	 2802.260000 	 3187.390000 	 2988.630000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.320000 	 0.360000 	 0.340000 	 9.520000 	 4.470000 	 5.130000 	 4.790000 	 1484.360000 	 2529.130000 	 2886.170000 	 2701.760000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.390000 	 0.410000 	 0.400000 	 8.790000 	 5.670000 	 6.140000 	 5.900000 	 1298.390000 	 1771.970000 	 1911.980000 	 1840.650000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.370000 	 0.400000 	 0.380000 	 8.990000 	 5.090000 	 5.680000 	 5.380000 	 1175.850000 	 1750.930000 	 1943.210000 	 1844.560000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.350000 	 0.370000 	 0.360000 	 8.560000 	 4.930000 	 5.420000 	 5.170000 	 1260.610000 	 1912.270000 	 2093.660000 	 2000.910000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.320000 	 0.340000 	 0.330000 	 8.750000 	 4.360000 	 4.860000 	 4.610000 	 1489.050000 	 2503.770000 	 2780.790000 	 2638.650000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.330000 	 0.360000 	 0.350000 	 9.140000 	 4.510000 	 5.180000 	 4.830000 	 1603.190000 	 2640.510000 	 3015.250000 	 2821.660000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.340000 	 0.380000 	 0.360000 	 8.770000 	 4.560000 	 5.190000 	 4.860000 	 1512.560000 	 2387.850000 	 2700.840000 	 2539.530000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.380000 	 0.410000 	 0.390000 	 8.520000 	 5.200000 	 5.810000 	 5.500000 	 1314.590000 	 1827.510000 	 2030.170000 	 1926.170000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
