f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
5.0068	0.0020351	0	0.1	0.0016089	2e-06	0.00069311	0	1e-06	0.00032724	2e-06	1.4999e+07	0	1e-06	2.4049e+07
5.2452	0.001733	0	0.10186	0.0016089	3e-06	0.0011348	0	1.0139e-06	0.00033276	3e-06	8.327e+06	0	1.0139e-06	2.3557e+07
5.4836	0.002118	0	0.10376	0.0016089	4e-06	0.0015931	0	1.028e-06	0.00033836	4e-06	5.2167e+06	0	1.028e-06	2.3075e+07
5.722	0.0014548	0	0.10569	0.0016089	5e-06	0.0020618	0	1.0424e-06	0.00034404	5e-06	3.6128e+06	0	1.0424e-06	2.2602e+07
5.9605	0.0020153	0	0.10765	0.0016089	6e-06	0.0025378	0	1.0569e-06	0.00034982	6e-06	2.6604e+06	0	1.0569e-06	2.2139e+07
6.1989	0.0014794	0	0.10966	0.0016089	7e-06	0.0030191	0	1.0716e-06	0.00035569	7e-06	2.0416e+06	0	1.0716e-06	2.1685e+07
6.4373	0.0019914	0	0.1117	0.0016089	8e-06	0.0035045	0	1.0865e-06	0.00036165	8e-06	1.5897e+06	0	1.0865e-06	2.124e+07
6.7949	0.001402	3.0805e-05	0.11378	0.0016089	9e-06	0.003993	0	1.1016e-06	0.0003677	9e-06	1.3245e+06	0	1.1016e-06	2.0804e+07
7.1526	0.0018205	0	0.11589	0.0016089	1e-05	0.0044842	0	1.117e-06	0.00037384	1e-05	1.0143e+06	0	1.117e-06	2.0377e+07
7.391	0.002026	0	0.11805	0.0016089	1.1e-05	0.0049775	0	1.1325e-06	0.00038008	1.1e-05	9.4648e+05	0	1.1325e-06	1.9958e+07
7.7486	0.0020073	0.0007758	0.12025	0.0016089	1.2e-05	0.0054726	0	1.1483e-06	0.00038642	1.2e-05	8.5299e+05	0	1.1483e-06	1.9548e+07
8.1062	0.0012808	0	0.12249	0.0016089	1.3e-05	0.0059694	0	1.1643e-06	0.00039285	1.3e-05	6.3113e+05	0	1.1643e-06	1.9146e+07
