a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.510000 	 0.500000 	 0.540000 	 0.520000 	 8.230000 	 7.830000 	 8.890000 	 8.340000 	 1556.070000 	 1466.520000 	 1603.950000 	 1533.700000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.560000 	 0.510000 	 0.550000 	 0.530000 	 9.560000 	 7.870000 	 9.070000 	 8.450000 	 1544.320000 	 1545.800000 	 1710.250000 	 1625.950000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.500000 	 0.540000 	 0.520000 	 9.520000 	 7.640000 	 8.970000 	 8.280000 	 1484.360000 	 1489.950000 	 1668.780000 	 1576.830000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.530000 	 0.570000 	 0.550000 	 8.790000 	 8.650000 	 9.730000 	 9.170000 	 1298.390000 	 1195.620000 	 1302.680000 	 1248.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.510000 	 0.540000 	 0.520000 	 8.990000 	 7.710000 	 8.720000 	 8.200000 	 1175.850000 	 1178.860000 	 1285.190000 	 1230.880000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.530000 	 0.560000 	 0.540000 	 8.560000 	 8.320000 	 9.320000 	 8.800000 	 1260.610000 	 1168.380000 	 1267.050000 	 1216.710000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.510000 	 0.540000 	 0.530000 	 8.750000 	 7.960000 	 8.910000 	 8.430000 	 1489.050000 	 1400.080000 	 1515.620000 	 1456.700000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.490000 	 0.530000 	 0.510000 	 9.140000 	 7.180000 	 8.520000 	 7.820000 	 1603.190000 	 1661.610000 	 1874.720000 	 1764.950000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.490000 	 0.530000 	 0.510000 	 8.770000 	 7.210000 	 8.480000 	 7.820000 	 1512.560000 	 1553.870000 	 1742.410000 	 1645.440000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.480000 	 0.520000 	 0.500000 	 8.520000 	 7.070000 	 8.150000 	 7.590000 	 1314.590000 	 1330.760000 	 1468.100000 	 1397.740000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.510000 	 0.540000 	 0.520000 	 8.780000 	 7.780000 	 8.790000 	 8.270000 	 1175.400000 	 1118.340000 	 1218.730000 	 1167.450000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.520000 	 0.550000 	 0.540000 	 8.440000 	 8.110000 	 9.220000 	 8.650000 	 1264.650000 	 1142.100000 	 1250.750000 	 1195.190000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.490000 	 0.530000 	 0.510000 	 8.780000 	 7.210000 	 8.570000 	 7.860000 	 1435.810000 	 1447.770000 	 1633.240000 	 1537.710000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.490000 	 0.530000 	 0.510000 	 8.410000 	 7.160000 	 8.380000 	 7.750000 	 1629.940000 	 1612.590000 	 1801.050000 	 1704.220000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.520000 	 0.550000 	 0.540000 	 8.720000 	 8.270000 	 9.360000 	 8.800000 	 1491.570000 	 1390.290000 	 1519.430000 	 1453.430000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.510000 	 0.540000 	 0.530000 	 8.940000 	 7.810000 	 8.950000 	 8.360000 	 1232.690000 	 1200.440000 	 1320.410000 	 1259.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.470000 	 0.510000 	 0.490000 	 8.580000 	 7.320000 	 8.590000 	 7.930000 	 1166.900000 	 1193.030000 	 1340.730000 	 1264.720000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.510000 	 0.490000 	 0.530000 	 0.510000 	 8.100000 	 7.160000 	 8.370000 	 7.740000 	 1275.310000 	 1229.890000 	 1372.500000 	 1299.240000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
