f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
5.0068	0.001528	0	0.1	0.0013862	2e-06	0.00064064	0	1e-06	0.00027106	2e-06	1.3486e+07	0	1e-06	3.5605e+07
5.2452	0.0015857	0	0.10186	0.0013862	3e-06	0.0010477	0	1.0139e-06	0.00027601	3e-06	7.6128e+06	0	1.0139e-06	3.4914e+07
5.4836	0.0015179	0	0.10376	0.0013862	4e-06	0.00147	0	1.028e-06	0.00028105	4e-06	4.7554e+06	0	1.028e-06	3.4236e+07
5.722	0.00095413	0	0.10569	0.0013862	5e-06	0.0019018	0	1.0424e-06	0.00028617	5e-06	3.307e+06	0	1.0424e-06	3.357e+07
5.9605	0.001553	0	0.10765	0.0013863	6e-06	0.0023402	0	1.0569e-06	0.00029137	6e-06	2.493e+06	0	1.0569e-06	3.2915e+07
6.1989	0.0015698	0	0.10966	0.0013863	7e-06	0.0027836	0	1.0716e-06	0.00029667	7e-06	1.9515e+06	0	1.0716e-06	3.2273e+07
6.4373	0.0021874	0	0.1117	0.0013863	8e-06	0.0032309	0	1.0865e-06	0.00030205	8e-06	1.478e+06	0	1.0865e-06	3.1642e+07
6.7949	0.0013562	0.0001789	0.11378	0.0013863	9e-06	0.0036811	0	1.1016e-06	0.00030751	9e-06	1.1878e+06	0	1.1016e-06	3.1022e+07
7.1526	0.0012366	0	0.11589	0.0013863	1e-05	0.0041337	0	1.117e-06	0.00031307	1e-05	9.0281e+05	0	1.117e-06	3.0414e+07
7.391	0.0013329	0	0.11805	0.0013863	1.1e-05	0.0045882	0	1.1325e-06	0.00031873	1.1e-05	8.1983e+05	0	1.1325e-06	2.9816e+07
7.7486	0.0013919	0.00011711	0.12025	0.0013863	1.2e-05	0.0050442	0	1.1483e-06	0.00032447	1.2e-05	6.8778e+05	0	1.1483e-06	2.923e+07
8.1062	0.001668	0	0.12249	0.0013863	1.3e-05	0.0055017	0	1.1643e-06	0.00033031	1.3e-05	5.9004e+05	0	1.1643e-06	2.8654e+07
8.4639	0.0016417	0.00061289	0.12477	0.0013863	1.4e-05	0.0059603	0	1.1805e-06	0.00033625	1.4e-05	4.6823e+05	0	1.1805e-06	2.8089e+07
8.9407	0.0014642	0.0004789	0.12709	0.0013863	1.5e-05	0.0064199	0	1.197e-06	0.00034228	1.5e-05	3.9932e+05	0	1.197e-06	2.7535e+07
9.4175	0.0018883	0.00085904	0.12945	0.0013863	1.65e-05	0.0071107	0.00023047	1.2136e-06	0.00034842	1.65e-05	2.4804e+05	36430	1.2136e-06	2.699e+07
9.7752	0.00087976	0	0.13186	0.0013863	1.8e-05	0.0078025	0	1.2305e-06	0.00035465	1.8e-05	2.5012e+05	0	1.2305e-06	2.6456e+07
10.133	0.0011675	4.4936e-05	0.13432	0.0013863	1.9e-05	0.0082644	0	1.2477e-06	0.00036099	1.9e-05	2.1784e+05	0	1.2477e-06	2.5931e+07
10.61	0.002208	3.7506e-05	0.13682	0.0013863	2.05e-05	0.0089579	0.00023124	1.265e-06	0.00036743	2.05e-05	1.3751e+05	43367	1.265e-06	2.5417e+07
11.206	0.0011317	6.5269e-05	0.13936	0.0013863	2.25e-05	0.0098835	0.0002315	1.2826e-06	0.00037397	2.25e-05	84605	5694.4	1.2826e-06	2.4912e+07
11.802	0.0015346	0.00045696	0.14196	0.0013863	2.45e-05	0.01081	0.00023153	1.3005e-06	0.00038062	2.45e-05	13429	48653	1.3005e-06	2.4416e+07
12.279	0.0018073	0.00034111	0.1446	0.0013863	2.65e-05	0.011736	0.00023159	1.3186e-06	0.00038739	2.65e-05	2835.5	25936	1.3186e-06	2.393e+07
12.875	0.0016238	0.00020451	0.14729	0.0013863	2.85e-05	0.012662	0.00023158	1.337e-06	0.00039426	2.85e-05	8897.8	17511	1.337e-06	2.3452e+07
13.471	0.0021163	0.00015112	0.15003	0.0013863	3.05e-05	0.013588	0.00023151	1.3556e-06	0.00040124	3.05e-05	88118	46650	1.3556e-06	2.2984e+07
14.067	0.0012352	0.00025137	0.15282	0.0013863	3.3e-05	0.014745	0.00026701	1.3745e-06	0.00040834	3.3e-05	78775	25856	1.3745e-06	2.2525e+07
14.782	0.0014961	0.00041842	0.15567	0.0013863	3.55e-05	0.015901	0.00023093	1.3936e-06	0.00041555	3.55e-05	1.5575e+05	47496	1.3936e-06	2.2074e+07
15.497	0.0017481	0.00045571	0.15856	0.0013863	3.8e-05	0.017055	0.00026643	1.413e-06	0.00042288	3.8e-05	56903	6076.5	1.413e-06	2.1632e+07
16.212	0.0018039	0.00013888	0.16151	0.0013863	4.1e-05	0.018439	0.00026622	1.4327e-06	0.00043032	4.1e-05	90780	22738	1.4327e-06	2.1198e+07
16.928	0.0015787	9.4144e-05	0.16452	0.0013864	4.45e-05	0.020051	0.00029713	1.4527e-06	0.00043789	4.45e-05	1.2204e+05	15600	1.4527e-06	2.0772e+07
