a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.510000 	 0.462020 	 0.486330 	 0.474020 	 8.230000 	 7.299100 	 8.129600 	 7.703100 	 1556.070000 	 1616.926100 	 1744.814000 	 1679.653300 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.560000 	 0.396510 	 0.416700 	 0.406480 	 9.560000 	 6.400800 	 7.061900 	 6.723200 	 1544.320000 	 2030.415900 	 2178.929600 	 2103.362400 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.401620 	 0.421940 	 0.411660 	 9.520000 	 6.422700 	 7.083300 	 6.744900 	 1484.360000 	 1918.708800 	 2058.811900 	 1987.526200 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.462590 	 0.481940 	 0.472170 	 8.790000 	 7.740900 	 8.405900 	 8.066600 	 1298.390000 	 1403.026400 	 1490.413300 	 1446.059900 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.395290 	 0.409230 	 0.402200 	 8.990000 	 6.347800 	 6.800400 	 6.570200 	 1175.850000 	 1542.169400 	 1619.548200 	 1580.385300 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.404980 	 0.426370 	 0.415540 	 8.560000 	 6.671900 	 7.385500 	 7.019700 	 1260.610000 	 1515.879300 	 1631.581900 	 1572.666900 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.437840 	 0.457950 	 0.447780 	 8.750000 	 7.011200 	 7.670600 	 7.333500 	 1489.050000 	 1652.253900 	 1761.553000 	 1706.028400 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.375950 	 0.391170 	 0.383490 	 9.140000 	 5.900300 	 6.413200 	 6.151400 	 1603.190000 	 2253.808200 	 2388.759700 	 2320.303000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.380920 	 0.402470 	 0.391550 	 8.770000 	 5.903900 	 6.586200 	 6.235700 	 1512.560000 	 2046.859400 	 2212.281300 	 2127.963600 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.408310 	 0.422150 	 0.415170 	 8.520000 	 6.293800 	 6.753200 	 6.519400 	 1314.590000 	 1627.227500 	 1708.282200 	 1667.262400 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.390990 	 0.413020 	 0.401850 	 8.780000 	 6.238400 	 6.960700 	 6.589700 	 1175.400000 	 1449.869900 	 1566.817100 	 1507.209700 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.407920 	 0.428230 	 0.417950 	 8.440000 	 6.671500 	 7.344900 	 7.000100 	 1264.650000 	 1467.501500 	 1572.920500 	 1519.296900 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.379660 	 0.404490 	 0.391880 	 8.780000 	 5.904400 	 6.709100 	 6.293900 	 1435.810000 	 1892.597600 	 2070.631700 	 1979.614200 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.374800 	 0.392190 	 0.383400 	 8.410000 	 5.822000 	 6.395100 	 6.101800 	 1629.940000 	 2165.991800 	 2313.483300 	 2238.523200 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
