f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
5.0068	0.0016219	0	0.1	0.0014659	2e-06	0.0007664	0	1e-06	0.0003635	2e-06	9.0156e+06	0	1e-06	3.2638e+07
5.2452	0.0023787	0	0.10186	0.0014659	3e-06	0.0012394	0	1.0139e-06	0.00036979	3e-06	1.0017e+07	0	1.0139e-06	3.1977e+07
5.4836	0.0027148	0	0.10376	0.0014659	4e-06	0.0017325	0	1.028e-06	0.00037618	4e-06	5.1771e+06	0	1.028e-06	3.1329e+07
5.722	0.0016884	0	0.10569	0.001466	5e-06	0.0022359	0	1.0424e-06	0.00038267	5e-06	3.7353e+06	0	1.0424e-06	3.0694e+07
5.9605	0.0021272	0	0.10765	0.001466	6e-06	0.0027468	0	1.0569e-06	0.00038926	6e-06	2.7364e+06	0	1.0569e-06	3.0072e+07
6.1989	0.0012986	0	0.10966	0.001466	7e-06	0.0032632	0	1.0716e-06	0.00039596	7e-06	2.2054e+06	0	1.0716e-06	2.9461e+07
6.4373	0.002105	0	0.1117	0.001466	8e-06	0.003784	0	1.0865e-06	0.00040276	8e-06	1.7673e+06	0	1.0865e-06	2.8862e+07
6.7949	0.0014024	0.00050585	0.11378	0.001466	9e-06	0.0043083	0	1.1016e-06	0.00040967	9e-06	1.4344e+06	0	1.1016e-06	2.8275e+07
7.1526	0.0018187	0	0.11589	0.001466	1e-05	0.0048355	0	1.117e-06	0.0004167	1e-05	1.1793e+06	0	1.117e-06	2.77e+07
7.391	0.0018809	0	0.11805	0.001466	1.1e-05	0.005365	0	1.1325e-06	0.00042383	1.1e-05	9.5213e+05	0	1.1325e-06	2.7136e+07
7.7486	0.0015644	0.00017203	0.12025	0.001466	1.2e-05	0.0058965	0	1.1483e-06	0.00043107	1.2e-05	7.9015e+05	0	1.1483e-06	2.6583e+07
8.1062	0.0030892	0	0.12249	0.001466	1.3e-05	0.0064295	0	1.1643e-06	0.00043843	1.3e-05	5.8773e+05	0	1.1643e-06	2.6041e+07
8.4639	0.0015421	0.0003995	0.12477	0.001466	1.4e-05	0.0069637	0	1.1805e-06	0.00044591	1.4e-05	5.8225e+05	0	1.1805e-06	2.551e+07
8.9407	0.0022431	8.9281e-05	0.12709	0.001466	1.5e-05	0.0074991	0	1.197e-06	0.0004535	1.5e-05	4.5169e+05	0	1.197e-06	2.4989e+07
9.4175	0.0023981	0.00025262	0.12945	0.001466	1.65e-05	0.0083038	0.0002685	1.2136e-06	0.00046122	1.65e-05	3.0812e+05	52454	1.2136e-06	2.4478e+07
9.7752	0.0022772	0	0.13186	0.001466	1.8e-05	0.0091098	0	1.2305e-06	0.00046905	1.8e-05	2.2229e+05	0	1.2305e-06	2.3978e+07
10.133	0.0022464	1.5402e-05	0.13432	0.001466	1.9e-05	0.0096478	0	1.2477e-06	0.00047701	1.9e-05	1.2137e+05	0	1.2477e-06	2.3487e+07
10.61	0.0016514	0.00013724	0.13682	0.001466	2.05e-05	0.010455	0.00026922	1.265e-06	0.00048509	2.05e-05	1.3289e+05	6262.5	1.265e-06	2.3007e+07
11.206	0.0014026	7.6002e-05	0.13936	0.001466	2.25e-05	0.011533	0.0002695	1.2826e-06	0.0004933	2.25e-05	1.719e+05	29060	1.2826e-06	2.2535e+07
11.802	0.0017946	0.0001645	0.14196	0.001466	2.45e-05	0.012611	0.00026964	1.3005e-06	0.00050164	2.45e-05	1369.7	62185	1.3005e-06	2.2074e+07
12.279	0.0016967	0.00037301	0.1446	0.001466	2.65e-05	0.01369	0.00026973	1.3186e-06	0.00051011	2.65e-05	18255	2579.5	1.3186e-06	2.1621e+07
12.875	0.0015932	0.00024667	0.14729	0.001466	2.85e-05	0.014769	0.00026976	1.337e-06	0.00051871	2.85e-05	19507	33519	1.337e-06	2.1177e+07
13.471	0.0024621	0.00027619	0.15003	0.001466	3.05e-05	0.015848	0.00026963	1.3556e-06	0.00052744	3.05e-05	1.0752e+05	30408	1.3556e-06	2.0742e+07
14.067	0.0016577	0.00037256	0.15282	0.001466	3.3e-05	0.017195	0.00031105	1.3745e-06	0.00053631	3.3e-05	21547	53979	1.3745e-06	2.0316e+07
14.782	0.0016579	7.4721e-05	0.15567	0.001466	3.55e-05	0.018542	0.00026932	1.3936e-06	0.00054532	3.55e-05	68336	40223	1.3936e-06	1.9899e+07
15.497	0.0016408	0.0003608	0.15856	0.001466	3.8e-05	0.019888	0.00031085	1.413e-06	0.00055447	3.8e-05	87636	42061	1.413e-06	1.9489e+07
16.212	0.0012491	0.00033037	0.16151	0.001466	4.1e-05	0.021503	0.00031052	1.4327e-06	0.00056376	4.1e-05	1.1649e+05	39365	1.4327e-06	1.9088e+07
16.928	0.0017835	0.00042758	0.16452	0.001466	4.45e-05	0.023383	0.00034641	1.4527e-06	0.0005732	4.45e-05	1.5151e+05	25586	1.4527e-06	1.8695e+07
