f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
2.1458	0.0048938	0	0.1	0.0026448	2e-06	0.0017481	0	1e-06	0.00075456	2e-06	3.7888e+07	0	1e-06	1.0188e+08
2.3842	0.0059341	0	0.10186	0.0026448	3e-06	0.002896	0	1.0139e-06	0.0007684	3e-06	3.1487e+07	0	1.0139e-06	9.9913e+07
2.6226	0.0051851	0	0.10376	0.0026448	4e-06	0.0041069	0	1.028e-06	0.00078248	4e-06	1.8459e+07	0	1.028e-06	9.7979e+07
2.861	0.0047682	0	0.10569	0.0026449	5e-06	0.0053547	0	1.0424e-06	0.0007968	5e-06	1.348e+07	0	1.0424e-06	9.6079e+07
3.0994	0.0055376	0	0.10765	0.0026449	6e-06	0.0066294	0	1.0569e-06	0.00081135	6e-06	1.0321e+07	0	1.0569e-06	9.4212e+07
3.3379	0.0060941	0	0.10966	0.0026449	7e-06	0.0079248	0	1.0716e-06	0.00082615	7e-06	8.0279e+06	0	1.0716e-06	9.2379e+07
3.5763	0.0073026	0	0.1117	0.0026449	8e-06	0.0092363	0	1.0865e-06	0.0008412	8e-06	6.4358e+06	0	1.0865e-06	9.0579e+07
3.8147	0.009631	0	0.11378	0.0026449	9e-06	0.010561	0	1.1016e-06	0.00085649	9e-06	5.3263e+06	0	1.1016e-06	8.8811e+07
4.1723	0.0034426	0.0006609	0.11589	0.0026449	1e-05	0.011896	0	1.117e-06	0.00087204	1e-05	4.2514e+06	0	1.117e-06	8.7075e+07
4.53	0.0045082	0	0.11805	0.0026449	1.1e-05	0.013239	0	1.1325e-06	0.00088785	1.1e-05	3.8999e+06	0	1.1325e-06	8.537e+07
4.8876	0.0065013	0.00084279	0.12025	0.0026449	1.2e-05	0.01459	0	1.1483e-06	0.00090392	1.2e-05	3.0888e+06	0	1.1483e-06	8.3696e+07
5.2452	0.0061977	0	0.12249	0.0026449	1.3e-05	0.015948	0	1.1643e-06	0.00092026	1.3e-05	2.9674e+06	0	1.1643e-06	8.2052e+07
5.6028	0.0060954	0.0003765	0.12477	0.0026449	1.4e-05	0.017311	0	1.1805e-06	0.00093687	1.4e-05	2.4389e+06	0	1.1805e-06	8.0439e+07
6.0797	0.0070433	0.0019017	0.12709	0.0026449	1.5e-05	0.018679	0	1.197e-06	0.00095375	1.5e-05	1.8691e+06	0	1.197e-06	7.8854e+07
6.5565	0.0081873	0.00046362	0.12945	0.0026449	1.65e-05	0.020739	0.00068768	1.2136e-06	0.00097091	1.65e-05	1.6727e+06	8073.6	1.2136e-06	7.7299e+07
7.0333	0.0060327	0.00030384	0.13186	0.0026449	1.8e-05	0.022806	0	1.2305e-06	0.00098835	1.8e-05	1.3907e+06	0	1.2305e-06	7.5772e+07
7.6294	0.0047301	0.00024441	0.13432	0.002645	1.9e-05	0.024187	0	1.2477e-06	0.0010061	1.9e-05	1.2085e+06	0	1.2477e-06	7.4274e+07
8.2254	0.0056375	0.0014113	0.13682	0.002645	2.05e-05	0.026264	0.00069297	1.265e-06	0.0010241	2.05e-05	9.2383e+05	93512	1.265e-06	7.2803e+07
8.8215	0.0046751	0.00095348	0.13936	0.002645	2.25e-05	0.029039	0.00069448	1.2826e-06	0.0010424	2.25e-05	6.6069e+05	25190	1.2826e-06	7.1359e+07
9.5367	0.0052194	0.0010916	0.14196	0.002645	2.45e-05	0.031819	0.00069547	1.3005e-06	0.001061	2.45e-05	4.2356e+05	72111	1.3005e-06	6.9942e+07
10.371	0.0045209	0.00069433	0.1446	0.002645	2.65e-05	0.034603	0.0006962	1.3186e-06	0.00108	2.65e-05	3.7712e+05	1.4489e+05	1.3186e-06	6.8552e+07
11.206	0.0053373	0.00041026	0.14729	0.002645	2.85e-05	0.037389	0.00069715	1.337e-06	0.0010992	2.85e-05	3.9906e+05	36933	1.337e-06	6.7187e+07
12.04	0.0050515	0.00015358	0.15003	0.002645	3.05e-05	0.040179	0.00069775	1.3556e-06	0.0011187	3.05e-05	2.3512e+05	3952.7	1.3556e-06	6.5848e+07
13.113	0.0044342	0.00030727	0.15282	0.002645	3.3e-05	0.043669	0.00080594	1.3745e-06	0.0011386	3.3e-05	27450	66434	1.3745e-06	6.4534e+07
14.186	0.0051474	0.00067285	0.15567	0.002645	3.55e-05	0.047159	0.00069752	1.3936e-06	0.0011588	3.55e-05	1.9443e+05	3.5134e+05	1.3936e-06	6.3244e+07
15.259	0.0053756	0.00088843	0.15856	0.002645	3.8e-05	0.050647	0.0008055	1.413e-06	0.0011793	3.8e-05	69341	18709	1.413e-06	6.1979e+07
16.451	0.0043435	0.00026759	0.16151	0.002645	4.1e-05	0.054831	0.00080513	1.4327e-06	0.0012002	4.1e-05	1.6593e+05	29976	1.4327e-06	6.0738e+07
17.762	0.004112	0.00065666	0.16452	0.0026451	4.45e-05	0.05971	0.00089937	1.4527e-06	0.0012214	4.45e-05	2.4071e+05	69060	1.4527e-06	5.952e+07
19.193	0.0047248	0.0002428	0.16758	0.0026451	4.85e-05	0.065279	0.00089825	1.4729e-06	0.0012429	4.85e-05	2.1928e+05	96810	1.4729e-06	5.8325e+07
20.742	0.0036844	0.00032646	0.1707	0.0026451	5.25e-05	0.07084	0.0008965	1.4934e-06	0.0012648	5.25e-05	3.7957e+05	26610	1.4934e-06	5.7153e+07
22.411	0.0037751	0.00050541	0.17388	0.0026451	5.65e-05	0.076389	0.00089418	1.5142e-06	0.001287	5.65e-05	5.0404e+05	11984	1.5142e-06	5.6004e+07
24.199	0.0046016	0.00064697	0.17711	0.0026451	6.1e-05	0.082613	0.0009768	1.5353e-06	0.0013096	6.1e-05	4.0905e+05	33749	1.5353e-06	5.4876e+07
26.107	0.0035291	0.00040724	0.18041	0.0026451	6.6e-05	0.089508	0.00097339	1.5567e-06	0.0013326	6.6e-05	5.4175e+05	31197	1.5567e-06	5.3769e+07
28.133	0.0039099	0.00044965	0.18377	0.0026451	7.1e-05	0.096377	0.00096949	1.5783e-06	0.0013559	7.1e-05	5.2522e+05	67625	1.5783e-06	5.2684e+07
30.398	0.0032843	0.00015389	0.18719	0.0026451	7.65e-05	0.1039	0.0010427	1.6003e-06	0.0013796	7.65e-05	4.9451e+05	27406	1.6003e-06	5.162e+07
32.902	0.0031916	0.00032158	0.19067	0.0026451	8.25e-05	0.11208	0.0010385	1.6226e-06	0.0014037	8.25e-05	4.6791e+05	55745	1.6226e-06	5.0576e+07
35.524	0.0030855	0.00026842	0.19422	0.0026451	8.9e-05	0.12089	0.0011037	1.6452e-06	0.0014281	8.9e-05	7.2206e+05	27661	1.6452e-06	4.9552e+07
38.266	0.002356	0.00018782	0.19783	0.0026452	9.6e-05	0.13032	0.0010955	1.6681e-06	0.001453	9.6e-05	7.3301e+05	42449	1.6681e-06	4.8548e+07
41.366	0.0030442	0.00015653	0.20151	0.0026452	0.0001035	0.14034	0.0011531	1.6913e-06	0.0014783	0.0001035	6.3932e+05	13992	1.6913e-06	4.7563e+07
44.703	0.0028793	0.00022407	0.20526	0.0026452	0.000112	0.15161	0.0012058	1.7149e-06	0.0015039	0.000112	6.601e+05	40214	1.7149e-06	4.6598e+07
48.28	0.0026979	0.00024894	0.20908	0.0026452	0.000121	0.16344	0.0011941	1.7388e-06	0.00153	0.000121	7.2044e+05	25624	1.7388e-06	4.5651e+07
52.094	0.0022993	0.00017887	0.21297	0.0026452	0.0001305	0.1758	0.0012396	1.763e-06	0.0015565	0.0001305	6.3815e+05	29368	1.763e-06	4.4722e+07
56.267	0.0024669	0.0001886	0.21694	0.0026452	0.000141	0.18933	0.0012817	1.7875e-06	0.0015834	0.000141	6.5889e+05	19025	1.7875e-06	4.3811e+07
60.797	0.0024989	0.00017215	0.22098	0.0026452	0.0001525	0.20397	0.0013163	1.8124e-06	0.0016108	0.0001525	7.5037e+05	34211	1.8124e-06	4.2918e+07
65.565	0.0023144	0.00012089	0.22509	0.0026452	0.000165	0.21967	0.0013465	1.8377e-06	0.0016385	0.000165	7.1714e+05	25370	1.8377e-06	4.2043e+07
70.81	0.002164	0.00014297	0.22928	0.0026452	0.000178	0.23575	0.0013271	1.8632e-06	0.0016668	0.000178	6.7613e+05	19339	1.8632e-06	4.1184e+07
76.532	0.0022179	0.00012188	0.23354	0.0026452	0.000192	0.25282	0.0013962	1.8892e-06	0.0016954	0.000192	6.3938e+05	47813	1.8892e-06	4.0343e+07
82.612	0.0020047	9.9236e-05	0.23789	0.0026453	0.0002075	0.27142	0.0014182	1.9155e-06	0.0017245	0.0002075	5.8931e+05	26759	1.9155e-06	3.9518e+07
89.169	0.0019424	0.00011005	0.24232	0.0026453	0.000224	0.29092	0.001436	1.9422e-06	0.0017541	0.000224	5.492e+05	21971	1.9422e-06	3.8709e+07
96.321	0.0019191	0.00010106	0.24683	0.0026453	0.000242	0.31185	0.0014885	1.9692e-06	0.0017842	0.000242	5.5631e+05	29688	1.9692e-06	3.7916e+07
103.95	0.0017789	8.2104e-05	0.25142	0.0026453	0.0002615	0.33411	0.0014957	1.9966e-06	0.0018147	0.0002615	5.8256e+05	26022	1.9966e-06	3.7138e+07
112.3	0.0017844	9.1148e-05	0.2561	0.0026453	0.000282	0.35703	0.0014972	2.0244e-06	0.0018457	0.000282	6.0316e+05	26344	2.0244e-06	3.6376e+07
121.36	0.0015386	8.3912e-05	0.26087	0.0026453	0.0003045	0.3816	0.0015575	2.0526e-06	0.0018772	0.0003045	5.5489e+05	28966	2.0526e-06	3.5629e+07
131.01	0.0014039	5.0466e-05	0.26572	0.0026453	0.000329	0.40771	0.0015471	2.0812e-06	0.0019092	0.000329	6.2235e+05	23530	2.0812e-06	3.4896e+07
141.38	0.0013576	6.7012e-05	0.27067	0.0026453	0.000355	0.43464	0.0015614	2.1102e-06	0.0019417	0.000355	5.1338e+05	20108	2.1102e-06	3.4178e+07
152.59	0.001441	5.7784e-05	0.2757	0.0026453	0.0003835	0.46334	0.0015949	2.1396e-06	0.0019747	0.0003835	5.2727e+05	14652	2.1396e-06	3.3474e+07
164.75	0.0012355	4.9383e-05	0.28083	0.0026454	0.000414	0.49308	0.0015642	2.1694e-06	0.0020083	0.000414	6.0199e+05	13267	2.1694e-06	3.2784e+07
177.98	0.0012246	4.2634e-05	0.28606	0.0026454	0.000447	0.52404	0.001593	2.1996e-06	0.0020423	0.000447	5.6031e+05	20973	2.1996e-06	3.2108e+07
192.17	0.0010888	3.5928e-05	0.29138	0.0026454	0.000483	0.55642	0.0015658	2.2302e-06	0.0020769	0.000483	5.4735e+05	14390	2.2302e-06	3.1445e+07
207.42	0.0010406	4.0382e-05	0.29681	0.0026454	0.0005215	0.58952	0.0015554	2.2613e-06	0.002112	0.0005215	4.1578e+05	20300	2.2613e-06	3.0795e+07
223.99	0.00095485	3.6608e-05	0.30233	0.0026454	0.000563	0.6237	0.0015418	2.2928e-06	0.0021477	0.000563	5.0017e+05	15168	2.2928e-06	3.0159e+07
241.88	0.00084475	3.0698e-05	0.30796	0.0026454	0.0006075	0.65854	0.0015093	2.3247e-06	0.002184	0.0006075	4.2692e+05	16066	2.3247e-06	2.9534e+07
261.19	0.00077116	2.655e-05	0.31369	0.0026454	0.000656	0.69455	0.0015049	2.3571e-06	0.0022208	0.000656	4.1692e+05	14882	2.3571e-06	2.8923e+07
282.05	0.0006603	2.0011e-05	0.31952	0.0026454	0.0007085	0.73132	0.0014531	2.3899e-06	0.0022581	0.0007085	3.9537e+05	15020	2.3899e-06	2.8323e+07
304.58	0.0005943	1.6616e-05	0.32547	0.0026455	0.000765	0.76852	0.0014317	2.4232e-06	0.0022961	0.000765	3.0668e+05	12886	2.4232e-06	2.7736e+07
328.9	0.00054458	1.3826e-05	0.33153	0.0026455	0.000826	0.8064	0.0013891	2.4569e-06	0.0023347	0.000826	3.2299e+05	13051	2.4569e-06	2.716e+07
355.12	0.00046878	1.1977e-05	0.3377	0.0026455	0.000892	0.84467	0.0013493	2.4911e-06	0.0023738	0.000892	3.3547e+05	11026	2.4911e-06	2.6596e+07
383.38	0.0004366	1.1494e-05	0.34398	0.0026455	0.000963	0.88265	0.0012716	2.5258e-06	0.0024136	0.000963	2.8996e+05	15457	2.5258e-06	2.6042e+07
413.89	0.00037698	8.8829e-06	0.35038	0.0026455	0.0010395	0.92024	0.0012267	2.561e-06	0.002454	0.0010395	2.6659e+05	11153	2.561e-06	2.55e+07
446.92	0.00033447	7.5272e-06	0.3569	0.0026455	0.0011225	0.95759	0.0011553	2.5967e-06	0.002495	0.0011225	2.2865e+05	13377	2.5967e-06	2.4969e+07
482.68	0.00030428	6.9948e-06	0.36355	0.0026455	0.001212	0.99429	0.0010972	2.6328e-06	0.0025366	0.001212	2.1168e+05	10453	2.6328e-06	2.4449e+07
521.18	0.00025224	5.7252e-06	0.37031	0.0026456	0.001309	1.0302	0.0010163	2.6695e-06	0.0025789	0.001309	2.4787e+05	10204	2.6695e-06	2.3939e+07
562.67	0.00022426	4.7093e-06	0.3772	0.0026456	0.0014135	1.064	0.00090968	2.7067e-06	0.0026218	0.0014135	1.855e+05	10713	2.7067e-06	2.3439e+07
607.61	0.00019032	4.0898e-06	0.38422	0.0026456	0.001526	1.0955	0.00081794	2.7443e-06	0.0026654	0.001526	1.3784e+05	11558	2.7443e-06	2.2949e+07
656.13	0.00016578	3.5267e-06	0.39137	0.0026456	0.001648	1.1255	0.00075296	2.7826e-06	0.0027097	0.001648	1.2121e+05	10053	2.7826e-06	2.2469e+07
708.46	0.00014014	3.0892e-06	0.39866	0.0026456	0.0017795	1.1541	0.00068865	2.8213e-06	0.0027547	0.0017795	1.019e+05	8380	2.8213e-06	2.1999e+07
