a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.740000 	 0.620000 	 0.640000 	 0.630000 	 15.690000 	 12.310000 	 13.030000 	 12.670000 	 375.980000 	 454.050000 	 480.380000 	 467.030000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.630000 	 0.670000 	 0.650000 	 15.930000 	 12.390000 	 13.370000 	 12.870000 	 394.910000 	 460.250000 	 495.720000 	 477.660000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.650000 	 0.690000 	 0.670000 	 14.260000 	 11.960000 	 13.000000 	 12.470000 	 427.760000 	 465.480000 	 505.020000 	 484.840000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.650000 	 0.680000 	 0.660000 	 14.590000 	 11.760000 	 12.780000 	 12.260000 	 428.930000 	 482.510000 	 523.470000 	 502.570000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.580000 	 0.600000 	 0.590000 	 13.750000 	 9.660000 	 10.340000 	 10.000000 	 468.730000 	 601.020000 	 641.860000 	 621.110000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.580000 	 0.600000 	 0.590000 	 13.920000 	 9.840000 	 10.490000 	 10.160000 	 450.640000 	 580.680000 	 617.410000 	 598.760000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.610000 	 0.640000 	 0.630000 	 15.020000 	 10.670000 	 11.520000 	 11.090000 	 430.170000 	 533.960000 	 575.000000 	 554.100000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.570000 	 0.600000 	 0.590000 	 15.520000 	 10.440000 	 11.060000 	 10.740000 	 389.460000 	 521.050000 	 551.210000 	 535.910000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.570000 	 0.600000 	 0.580000 	 16.400000 	 10.730000 	 11.450000 	 11.080000 	 386.970000 	 521.610000 	 555.270000 	 538.180000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.570000 	 0.600000 	 0.580000 	 15.780000 	 10.790000 	 11.500000 	 11.140000 	 403.710000 	 532.080000 	 565.950000 	 548.750000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
