f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
2.1458	0.0053551	0	0.1	0.0028891	2e-06	0.0015362	0	1e-06	0.0006639	2e-06	3.8101e+07	0	1e-06	9.4633e+07
2.3842	0.0036132	0	0.10186	0.0028891	3e-06	0.0025556	0	1.0139e-06	0.00067608	3e-06	2.7165e+07	0	1.0139e-06	9.2923e+07
2.6226	0.0037847	0	0.10376	0.0028891	4e-06	0.0036293	0	1.028e-06	0.00068846	4e-06	1.6596e+07	0	1.028e-06	9.1241e+07
2.861	0.0027361	0	0.10569	0.0028891	5e-06	0.0047363	0	1.0424e-06	0.00070106	5e-06	1.1922e+07	0	1.0424e-06	8.9587e+07
3.0994	0.0030143	0	0.10765	0.0028891	6e-06	0.005867	0	1.0569e-06	0.00071387	6e-06	9.0573e+06	0	1.0569e-06	8.796e+07
3.3379	0.0026764	0	0.10966	0.0028891	7e-06	0.0070159	0	1.0716e-06	0.00072689	7e-06	6.9211e+06	0	1.0716e-06	8.6359e+07
3.5763	0.0038235	0	0.1117	0.0028891	8e-06	0.0081787	0	1.0865e-06	0.00074013	8e-06	5.6144e+06	0	1.0865e-06	8.4785e+07
3.8147	0.0035679	0	0.11378	0.0028891	9e-06	0.0093526	0	1.1016e-06	0.0007536	9e-06	4.7484e+06	0	1.1016e-06	8.3236e+07
4.1723	0.0044145	0.0015705	0.11589	0.0028892	1e-05	0.010536	0	1.117e-06	0.0007673	1e-05	3.935e+06	0	1.117e-06	8.1713e+07
4.53	0.0042852	0	0.11805	0.0028892	1.1e-05	0.011727	0	1.1325e-06	0.00078122	1.1e-05	3.7873e+06	0	1.1325e-06	8.0216e+07
4.8876	0.0031668	6.568e-05	0.12025	0.0028892	1.2e-05	0.012926	0	1.1483e-06	0.00079538	1.2e-05	2.9302e+06	0	1.1483e-06	7.8744e+07
5.2452	0.0027741	0	0.12249	0.0028892	1.3e-05	0.014131	0	1.1643e-06	0.00080977	1.3e-05	2.6369e+06	0	1.1643e-06	7.7296e+07
5.6028	0.0043929	0.00077583	0.12477	0.0028892	1.4e-05	0.015341	0	1.1805e-06	0.0008244	1.4e-05	2.2351e+06	0	1.1805e-06	7.5872e+07
6.0797	0.0040963	2.8812e-05	0.12709	0.0028892	1.5e-05	0.016556	0	1.197e-06	0.00083928	1.5e-05	2.0756e+06	0	1.197e-06	7.4472e+07
6.5565	0.0035443	7.8484e-05	0.12945	0.0028892	1.65e-05	0.018385	0.000611	1.2136e-06	0.00085441	1.65e-05	1.5992e+06	67113	1.2136e-06	7.3096e+07
7.0333	0.0031114	0.00024885	0.13186	0.0028892	1.8e-05	0.020221	0	1.2305e-06	0.00086979	1.8e-05	1.373e+06	0	1.2305e-06	7.1743e+07
7.6294	0.0040423	0.00014299	0.13432	0.0028892	1.9e-05	0.021449	0	1.2477e-06	0.00088543	1.9e-05	1.2144e+06	0	1.2477e-06	7.0413e+07
8.2254	0.0051133	0.00048838	0.13682	0.0028892	2.05e-05	0.023296	0.00061616	1.265e-06	0.00090132	2.05e-05	9.9021e+05	57538	1.265e-06	6.9106e+07
8.8215	0.0029929	0.00085732	0.13936	0.0028893	2.25e-05	0.025764	0.00061797	1.2826e-06	0.00091748	2.25e-05	8.4554e+05	31668	1.2826e-06	6.782e+07
9.5367	0.0036673	0.00050679	0.14196	0.0028893	2.45e-05	0.028239	0.00061935	1.3005e-06	0.00093391	2.45e-05	6.1596e+05	49451	1.3005e-06	6.6557e+07
10.371	0.003702	0.00062695	0.1446	0.0028893	2.65e-05	0.030719	0.00062042	1.3186e-06	0.00095061	2.65e-05	3.9482e+05	2133.1	1.3186e-06	6.5315e+07
