f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
2.1458	0.0046595	0	0.1	0.0025008	2e-06	0.0015735	0	1e-06	0.0006656	2e-06	3.5917e+07	0	1e-06	1.1062e+08
2.3842	0.0054807	0	0.10186	0.0025009	3e-06	0.0026114	0	1.0139e-06	0.00067812	3e-06	2.7951e+07	0	1.0139e-06	1.0869e+08
2.6226	0.0050494	0	0.10376	0.0025009	4e-06	0.0037051	0	1.028e-06	0.00069086	4e-06	1.7076e+07	0	1.028e-06	1.0679e+08
2.861	0.0035232	0	0.10569	0.0025009	5e-06	0.0048331	0	1.0424e-06	0.00070381	5e-06	1.2177e+07	0	1.0424e-06	1.0492e+08
3.0994	0.0028847	0	0.10765	0.0025009	6e-06	0.0059854	0	1.0569e-06	0.00071699	6e-06	9.3074e+06	0	1.0569e-06	1.0308e+08
3.3379	0.0041754	0	0.10966	0.0025009	7e-06	0.0071563	0	1.0716e-06	0.0007304	7e-06	7.3208e+06	0	1.0716e-06	1.0126e+08
3.5763	0.0066816	0	0.1117	0.0025009	8e-06	0.0083418	0	1.0865e-06	0.00074404	8e-06	5.82e+06	0	1.0865e-06	9.9476e+07
3.8147	0.0039136	0	0.11378	0.0025009	9e-06	0.009539	0	1.1016e-06	0.00075792	9e-06	4.8874e+06	0	1.1016e-06	9.7718e+07
4.1723	0.0044264	0.00064497	0.11589	0.0025009	1e-05	0.010746	0	1.117e-06	0.00077203	1e-05	3.873e+06	0	1.117e-06	9.5987e+07
4.53	0.0035164	0	0.11805	0.0025009	1.1e-05	0.011961	0	1.1325e-06	0.00078639	1.1e-05	3.5991e+06	0	1.1325e-06	9.4284e+07
4.8876	0.0049547	0.00066475	0.12025	0.0025009	1.2e-05	0.013183	0	1.1483e-06	0.00080099	1.2e-05	2.7162e+06	0	1.1483e-06	9.2607e+07
5.2452	0.0034789	0	0.12249	0.0025009	1.3e-05	0.01441	0	1.1643e-06	0.00081585	1.3e-05	2.569e+06	0	1.1643e-06	9.0957e+07
5.6028	0.0048692	0.0012894	0.12477	0.002501	1.4e-05	0.015642	0	1.1805e-06	0.00083095	1.4e-05	2.0248e+06	0	1.1805e-06	8.9333e+07
6.0797	0.0039406	0.00017955	0.12709	0.002501	1.5e-05	0.016879	0	1.197e-06	0.00084632	1.5e-05	1.9195e+06	0	1.197e-06	8.7735e+07
6.5565	0.0037945	0.0004223	0.12945	0.002501	1.65e-05	0.018741	0.00062195	1.2136e-06	0.00086195	1.65e-05	1.6453e+06	1.2244e+05	1.2136e-06	8.6162e+07
7.0333	0.0039766	0.00037167	0.13186	0.002501	1.8e-05	0.02061	0	1.2305e-06	0.00087784	1.8e-05	1.2585e+06	0	1.2305e-06	8.4614e+07
7.6294	0.0038236	0.00052732	0.13432	0.002501	1.9e-05	0.02186	0	1.2477e-06	0.00089401	1.9e-05	1.1137e+06	0	1.2477e-06	8.3091e+07
8.2254	0.0047834	0.00023802	0.13682	0.002501	2.05e-05	0.023738	0.0006269	1.265e-06	0.00091045	2.05e-05	9.9149e+05	64098	1.265e-06	8.1593e+07
8.8215	0.0037867	0.0002877	0.13936	0.002501	2.25e-05	0.026249	0.00062863	1.2826e-06	0.00092717	2.25e-05	7.3097e+05	68012	1.2826e-06	8.0119e+07
9.5367	0.0045523	0.00063418	0.14196	0.002501	2.45e-05	0.028766	0.00062975	1.3005e-06	0.00094417	2.45e-05	5.6873e+05	1.0945e+05	1.3005e-06	7.8668e+07
10.371	0.0031275	0.00044743	0.1446	0.002501	2.65e-05	0.031288	0.00063099	1.3186e-06	0.00096147	2.65e-05	5.0909e+05	55251	1.3186e-06	7.7242e+07
11.206	0.0031575	0.00048935	0.14729	0.0025011	2.85e-05	0.033814	0.00063179	1.337e-06	0.00097905	2.85e-05	3.2037e+05	29879	1.337e-06	7.5838e+07
12.04	0.0030256	0.00020361	0.15003	0.0025011	3.05e-05	0.036342	0.00063222	1.3556e-06	0.00099693	3.05e-05	1.4802e+05	7580	1.3556e-06	7.4458e+07
13.113	0.0040908	0.00057235	0.15282	0.0025011	3.3e-05	0.039504	0.00073034	1.3745e-06	0.0010151	3.3e-05	1.4049e+05	57588	1.3745e-06	7.31e+07
14.186	0.0033611	0.00037648	0.15567	0.0025011	3.55e-05	0.042667	0.00063258	1.3936e-06	0.0010336	3.55e-05	49701	2.6966e+05	1.3936e-06	7.1765e+07
15.259	0.0034762	0.00013084	0.15856	0.0025011	3.8e-05	0.045831	0.00073072	1.413e-06	0.0010524	3.8e-05	73629	40620	1.413e-06	7.0451e+07
16.451	0.0034578	0.0004108	0.16151	0.0025011	4.1e-05	0.049627	0.00073036	1.4327e-06	0.0010715	4.1e-05	1.3188e+05	19875	1.4327e-06	6.916e+07
17.762	0.0033116	0.00024893	0.16452	0.0025011	4.45e-05	0.054052	0.00081566	1.4527e-06	0.001091	4.45e-05	2.4066e+05	30918	1.4527e-06	6.7889e+07
19.193	0.0040677	0.00042299	0.16758	0.0025011	4.85e-05	0.059104	0.00081484	1.4729e-06	0.0011107	4.85e-05	1.7309e+05	97662	1.4729e-06	6.664e+07
20.742	0.0034983	0.00026484	0.1707	0.0025011	5.25e-05	0.064149	0.00081337	1.4934e-06	0.0011308	5.25e-05	3.4315e+05	39502	1.4934e-06	6.5412e+07
22.411	0.0032454	0.0002358	0.17388	0.0025012	5.65e-05	0.069183	0.00081146	1.5142e-06	0.0011512	5.65e-05	3.3212e+05	28620	1.5142e-06	6.4204e+07
24.199	0.0031012	0.000293	0.17711	0.0025012	6.1e-05	0.074833	0.00088667	1.5353e-06	0.001172	6.1e-05	3.8449e+05	40161	1.5353e-06	6.3017e+07
26.107	0.003128	0.00029271	0.18041	0.0025012	6.6e-05	0.081093	0.0008839	1.5567e-06	0.0011931	6.6e-05	3.805e+05	38880	1.5567e-06	6.185e+07
28.133	0.003034	0.0003038	0.18377	0.0025012	7.1e-05	0.087334	0.00088125	1.5783e-06	0.0012146	7.1e-05	4.0914e+05	58229	1.5783e-06	6.0702e+07
30.398	0.0032793	0.00036751	0.18719	0.0025012	7.65e-05	0.094174	0.00094803	1.6003e-06	0.0012364	7.65e-05	4.6005e+05	18765	1.6003e-06	5.9574e+07
32.902	0.0031077	0.00020908	0.19067	0.0025012	8.25e-05	0.10161	0.00094419	1.6226e-06	0.0012586	8.25e-05	3.7299e+05	48495	1.6226e-06	5.8465e+07
35.524	0.0027119	0.00031603	0.19422	0.0025012	8.9e-05	0.10962	0.0010048	1.6452e-06	0.0012812	8.9e-05	4.6818e+05	27545	1.6452e-06	5.7375e+07
38.266	0.0030763	0.00021256	0.19783	0.0025012	9.6e-05	0.11822	0.00099966	1.6681e-06	0.0013041	9.6e-05	4.5656e+05	14171	1.6681e-06	5.6303e+07
41.366	0.0028082	0.00019712	0.20151	0.0025013	0.0001035	0.12737	0.0010541	1.6913e-06	0.0013274	0.0001035	5.2179e+05	40152	1.6913e-06	5.525e+07
44.703	0.0021968	0.00019709	0.20526	0.0025013	0.000112	0.13768	0.0011039	1.7149e-06	0.0013511	0.000112	3.8977e+05	17867	1.7149e-06	5.4214e+07
48.28	0.0027723	0.00015576	0.20908	0.0025013	0.000121	0.14853	0.0010975	1.7388e-06	0.0013752	0.000121	4.1673e+05	30149	1.7388e-06	5.3197e+07
52.094	0.0026393	0.00019312	0.21297	0.0025013	0.0001305	0.15991	0.0011425	1.763e-06	0.0013997	0.0001305	4.5485e+05	40614	1.763e-06	5.2197e+07
56.267	0.0023484	0.00017131	0.21694	0.0025013	0.000141	0.17239	0.0011824	1.7875e-06	0.0014246	0.000141	6.4125e+05	20124	1.7875e-06	5.1215e+07
60.797	0.0021826	0.00013252	0.22098	0.0025013	0.0001525	0.1859	0.0012161	1.8124e-06	0.0014499	0.0001525	5.7446e+05	28923	1.8124e-06	5.0249e+07
65.565	0.0022227	0.00015816	0.22509	0.0025013	0.000165	0.20042	0.001246	1.8377e-06	0.0014756	0.000165	6.2477e+05	25942	1.8377e-06	4.93e+07
70.81	0.0020991	0.00010891	0.22928	0.0025014	0.000178	0.2153	0.0012281	1.8632e-06	0.0015017	0.000178	6.0682e+05	24156	1.8632e-06	4.8368e+07
76.532	0.0020084	0.00012206	0.23354	0.0025014	0.000192	0.2311	0.0012932	1.8892e-06	0.0015283	0.000192	6.0813e+05	29539	1.8892e-06	4.7452e+07
82.612	0.0018602	0.00012332	0.23789	0.0025014	0.0002075	0.24831	0.0013102	1.9155e-06	0.0015553	0.0002075	6.6144e+05	28954	1.9155e-06	4.6552e+07
89.169	0.0019475	0.00010874	0.24232	0.0025014	0.000224	0.26629	0.0013217	1.9422e-06	0.0015827	0.000224	5.7734e+05	25265	1.9422e-06	4.5668e+07
96.321	0.0016303	8.0891e-05	0.24683	0.0025014	0.000242	0.28554	0.0013693	1.9692e-06	0.0016106	0.000242	5.2616e+05	37754	1.9692e-06	4.4799e+07
103.95	0.0017243	7.9359e-05	0.25142	0.0025014	0.0002615	0.30601	0.0013741	1.9966e-06	0.001639	0.0002615	5.354e+05	31895	1.9966e-06	4.3945e+07
112.3	0.0016846	8.1097e-05	0.2561	0.0025014	0.000282	0.3271	0.0013794	2.0244e-06	0.0016678	0.000282	5.0299e+05	24139	2.0244e-06	4.3107e+07
121.36	0.0016098	8.0269e-05	0.26087	0.0025015	0.0003045	0.34976	0.0014386	2.0526e-06	0.0016971	0.0003045	4.6225e+05	20666	2.0526e-06	4.2283e+07
131.01	0.0014768	4.779e-05	0.26572	0.0025015	0.000329	0.37389	0.0014323	2.0812e-06	0.0017268	0.000329	4.9479e+05	20848	2.0812e-06	4.1474e+07
141.38	0.001303	4.4075e-05	0.27067	0.0025015	0.000355	0.39885	0.0014474	2.1102e-06	0.0017571	0.000355	5.2726e+05	24576	2.1102e-06	4.068e+07
152.59	0.0012904	5.0509e-05	0.2757	0.0025015	0.0003835	0.42542	0.0014751	2.1396e-06	0.0017878	0.0003835	4.9162e+05	15235	2.1396e-06	3.9899e+07
164.75	0.0011295	4.5838e-05	0.28083	0.0025015	0.000414	0.45295	0.0014494	2.1694e-06	0.001819	0.000414	4.794e+05	19238	2.1694e-06	3.9133e+07
177.98	0.0011381	4.364e-05	0.28606	0.0025015	0.000447	0.48172	0.0014837	2.1996e-06	0.0018507	0.000447	4.9385e+05	18952	2.1996e-06	3.838e+07
