a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.710000 	 0.670000 	 0.720000 	 0.690000 	 14.920000 	 13.750000 	 15.610000 	 14.650000 	 394.120000 	 380.060000 	 419.780000 	 399.430000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.690000 	 0.720000 	 0.700000 	 15.210000 	 14.630000 	 15.900000 	 15.250000 	 413.990000 	 398.910000 	 426.200000 	 412.330000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.710000 	 0.760000 	 0.740000 	 13.680000 	 13.800000 	 15.900000 	 14.820000 	 446.710000 	 396.850000 	 442.460000 	 419.040000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.690000 	 0.730000 	 0.710000 	 13.940000 	 12.870000 	 14.470000 	 13.650000 	 448.880000 	 431.010000 	 470.850000 	 450.490000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.660000 	 0.700000 	 0.680000 	 13.140000 	 11.860000 	 13.180000 	 12.500000 	 489.820000 	 478.060000 	 516.990000 	 497.140000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.670000 	 0.690000 	 0.680000 	 13.290000 	 12.000000 	 13.040000 	 12.510000 	 471.280000 	 477.390000 	 507.750000 	 492.340000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.660000 	 0.690000 	 0.680000 	 14.280000 	 12.310000 	 13.380000 	 12.830000 	 451.240000 	 455.830000 	 485.040000 	 470.210000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.640000 	 0.670000 	 0.660000 	 14.720000 	 11.400000 	 12.690000 	 12.030000 	 408.020000 	 420.420000 	 454.810000 	 437.280000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.610000 	 0.640000 	 0.630000 	 15.610000 	 11.620000 	 12.810000 	 12.200000 	 405.730000 	 442.410000 	 475.530000 	 458.670000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.660000 	 0.700000 	 0.680000 	 15.060000 	 12.860000 	 14.700000 	 13.750000 	 422.590000 	 414.440000 	 459.040000 	 436.170000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.630000 	 0.660000 	 0.650000 	 14.690000 	 11.870000 	 13.220000 	 12.520000 	 439.910000 	 451.570000 	 489.970000 	 470.380000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.670000 	 0.700000 	 0.680000 	 14.460000 	 12.370000 	 13.680000 	 13.010000 	 452.770000 	 450.390000 	 485.590000 	 467.660000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.670000 	 0.710000 	 0.690000 	 13.450000 	 12.230000 	 13.530000 	 12.860000 	 472.720000 	 459.400000 	 495.530000 	 477.120000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
