f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
2.1458	0.0044163	0	0.1	0.0030599	2e-06	0.0017489	0	1e-06	0.00070603	2e-06	3.739e+07	0	1e-06	1.3379e+08
2.3842	0.0052804	0	0.10186	0.0030599	3e-06	0.0028969	0	1.0139e-06	0.00071971	3e-06	3.1491e+07	0	1.0139e-06	1.3139e+08
2.6226	0.0080684	0	0.10376	0.0030599	4e-06	0.0041079	0	1.028e-06	0.00073364	4e-06	1.8529e+07	0	1.028e-06	1.2903e+08
2.861	0.0076649	0	0.10569	0.0030599	5e-06	0.0053559	0	1.0424e-06	0.00074782	5e-06	1.3357e+07	0	1.0424e-06	1.2671e+08
3.0994	0.0022422	0	0.10765	0.0030599	6e-06	0.0066306	0	1.0569e-06	0.00076225	6e-06	1.007e+07	0	1.0569e-06	1.2442e+08
3.3379	0.0073904	0	0.10966	0.0030599	7e-06	0.0079255	0	1.0716e-06	0.00077693	7e-06	7.9992e+06	0	1.0716e-06	1.2217e+08
3.5763	0.0056205	0	0.1117	0.0030599	8e-06	0.0092364	0	1.0865e-06	0.00079187	8e-06	6.4814e+06	0	1.0865e-06	1.1995e+08
3.8147	0.0054878	0	0.11378	0.00306	9e-06	0.01056	0	1.1016e-06	0.00080707	9e-06	5.364e+06	0	1.1016e-06	1.1777e+08
4.1723	0.0049611	0.0006039	0.11589	0.00306	1e-05	0.011895	0	1.117e-06	0.00082254	1e-05	4.3252e+06	0	1.117e-06	1.1562e+08
4.53	0.006373	0	0.11805	0.00306	1.1e-05	0.013238	0	1.1325e-06	0.00083828	1.1e-05	3.9381e+06	0	1.1325e-06	1.1351e+08
4.8876	0.0074335	0.001165	0.12025	0.00306	1.2e-05	0.014589	0	1.1483e-06	0.0008543	1.2e-05	3.1062e+06	0	1.1483e-06	1.1142e+08
5.2452	0.0047671	0	0.12249	0.00306	1.3e-05	0.015946	0	1.1643e-06	0.0008706	1.3e-05	2.7257e+06	0	1.1643e-06	1.0938e+08
5.6028	0.0040945	0.00086217	0.12477	0.00306	1.4e-05	0.017309	0	1.1805e-06	0.00088717	1.4e-05	2.3597e+06	0	1.1805e-06	1.0736e+08
6.0797	0.0054546	0.00095301	0.12709	0.00306	1.5e-05	0.018677	0	1.197e-06	0.00090404	1.5e-05	2.318e+06	0	1.197e-06	1.0538e+08
6.5565	0.002814	0.0001826	0.12945	0.00306	1.65e-05	0.020737	0.00068795	1.2136e-06	0.0009212	1.65e-05	1.7776e+06	1.1546e+05	1.2136e-06	1.0342e+08
7.0333	0.0051914	0.001048	0.13186	0.00306	1.8e-05	0.022804	0	1.2305e-06	0.00093866	1.8e-05	1.4684e+06	0	1.2305e-06	1.015e+08
7.6294	0.0044979	0.0010437	0.13432	0.0030601	1.9e-05	0.024186	0	1.2477e-06	0.00095642	1.9e-05	1.3444e+06	0	1.2477e-06	9.9613e+07
8.2254	0.0042697	0.00092739	0.13682	0.0030601	2.05e-05	0.026265	0.00069358	1.265e-06	0.00097449	2.05e-05	9.9903e+05	1.5522e+05	1.265e-06	9.7755e+07
8.8215	0.0059552	0.00024226	0.13936	0.0030601	2.25e-05	0.029042	0.00069523	1.2826e-06	0.00099287	2.25e-05	7.8735e+05	19162	1.2826e-06	9.5927e+07
9.5367	0.0027499	0.00073636	0.14196	0.0030601	2.45e-05	0.031826	0.00069634	1.3005e-06	0.0010116	2.45e-05	4.362e+05	92678	1.3005e-06	9.4129e+07
10.371	0.0047258	0.00063668	0.1446	0.0030601	2.65e-05	0.034613	0.00069715	1.3186e-06	0.0010306	2.65e-05	3.4473e+05	62881	1.3186e-06	9.2361e+07
11.206	0.0046039	0.0013645	0.14729	0.0030601	2.85e-05	0.037403	0.000698	1.337e-06	0.0010499	2.85e-05	3.2841e+05	1.0911e+05	1.337e-06	9.0622e+07
12.04	0.0040463	0.0014581	0.15003	0.0030601	3.05e-05	0.040196	0.00069837	1.3556e-06	0.0010696	3.05e-05	1.198e+05	33491	1.3556e-06	8.8912e+07
13.113	0.0040527	0.00029321	0.15282	0.0030601	3.3e-05	0.043688	0.00080655	1.3745e-06	0.0010896	3.3e-05	97295	79350	1.3745e-06	8.7231e+07
