a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.740000 	 0.740000 	 0.780000 	 0.760000 	 15.690000 	 15.090000 	 17.030000 	 16.030000 	 375.980000 	 346.830000 	 381.300000 	 363.660000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.740000 	 0.770000 	 0.760000 	 15.930000 	 15.720000 	 17.210000 	 16.450000 	 394.910000 	 368.770000 	 395.550000 	 381.920000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.720000 	 0.770000 	 0.750000 	 14.260000 	 14.070000 	 16.240000 	 15.120000 	 427.760000 	 391.420000 	 436.710000 	 413.450000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.790000 	 0.770000 	 14.590000 	 13.990000 	 15.570000 	 14.760000 	 428.930000 	 398.150000 	 431.830000 	 414.650000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.710000 	 0.750000 	 0.730000 	 13.750000 	 12.690000 	 14.020000 	 13.340000 	 468.730000 	 447.650000 	 482.170000 	 464.590000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.710000 	 0.740000 	 0.720000 	 13.920000 	 12.700000 	 13.810000 	 13.240000 	 450.640000 	 450.840000 	 479.240000 	 464.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.670000 	 0.700000 	 0.680000 	 15.020000 	 12.490000 	 13.600000 	 13.040000 	 430.170000 	 450.360000 	 479.740000 	 464.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.650000 	 0.680000 	 0.660000 	 15.520000 	 11.560000 	 12.900000 	 12.210000 	 389.460000 	 415.410000 	 449.870000 	 432.290000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.620000 	 0.650000 	 0.630000 	 16.400000 	 11.770000 	 12.990000 	 12.370000 	 386.970000 	 437.530000 	 470.850000 	 453.890000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.660000 	 0.710000 	 0.690000 	 15.780000 	 13.080000 	 14.960000 	 13.990000 	 403.710000 	 409.110000 	 453.510000 	 430.740000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.700000 	 0.730000 	 0.710000 	 15.330000 	 13.090000 	 14.320000 	 13.690000 	 420.940000 	 413.870000 	 442.720000 	 428.050000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.670000 	 0.710000 	 0.690000 	 15.160000 	 12.580000 	 13.930000 	 13.240000 	 432.630000 	 444.550000 	 479.710000 	 461.790000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.680000 	 0.710000 	 0.700000 	 14.070000 	 12.440000 	 13.780000 	 13.100000 	 453.980000 	 453.420000 	 489.460000 	 471.100000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.690000 	 0.710000 	 0.700000 	 14.040000 	 12.160000 	 13.080000 	 12.610000 	 441.160000 	 454.130000 	 478.640000 	 466.220000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.720000 	 0.750000 	 0.730000 	 14.090000 	 12.950000 	 14.380000 	 13.640000 	 436.740000 	 428.680000 	 463.290000 	 445.650000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
