f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
2.1458	0.002111	0	0.1	0.0021577	2e-06	0.0016832	0	1e-06	0.00068132	2e-06	4.7273e+07	0	1e-06	1.2737e+08
2.3842	0.003022	0	0.10186	0.0021577	3e-06	0.0028158	0	1.0139e-06	0.00069439	3e-06	2.9136e+07	0	1.0139e-06	1.2522e+08
2.6226	0.0035049	0	0.10376	0.0021577	4e-06	0.0040066	0	1.028e-06	0.00070769	4e-06	1.8518e+07	0	1.028e-06	1.231e+08
2.861	0.003928	0	0.10569	0.0021577	5e-06	0.0052345	0	1.0424e-06	0.00072123	5e-06	1.3204e+07	0	1.0424e-06	1.2101e+08
3.0994	0.003246	0	0.10765	0.0021577	6e-06	0.0064888	0	1.0569e-06	0.00073501	6e-06	1.0154e+07	0	1.0569e-06	1.1895e+08
3.3379	0.0041471	0	0.10966	0.0021577	7e-06	0.0077634	0	1.0716e-06	0.00074903	7e-06	7.9379e+06	0	1.0716e-06	1.1692e+08
3.5763	0.0037976	0	0.1117	0.0021577	8e-06	0.0090538	0	1.0865e-06	0.0007633	8e-06	6.4686e+06	0	1.0865e-06	1.1492e+08
3.8147	0.0034044	0	0.11378	0.0021577	9e-06	0.010357	0	1.1016e-06	0.00077782	9e-06	5.3572e+06	0	1.1016e-06	1.1295e+08
4.1723	0.0042839	0.00069934	0.11589	0.0021577	1e-05	0.011671	0	1.117e-06	0.00079259	1e-05	4.3702e+06	0	1.117e-06	1.1101e+08
4.53	0.0039568	0	0.11805	0.0021578	1.1e-05	0.012994	0	1.1325e-06	0.00080762	1.1e-05	3.7515e+06	0	1.1325e-06	1.091e+08
4.8876	0.0035985	0.0010046	0.12025	0.0021578	1.2e-05	0.014325	0	1.1483e-06	0.00082292	1.2e-05	2.8528e+06	0	1.1483e-06	1.0722e+08
5.2452	0.0052123	0	0.12249	0.0021578	1.3e-05	0.015661	0	1.1643e-06	0.00083848	1.3e-05	2.6999e+06	0	1.1643e-06	1.0536e+08
