a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.740000 	 0.740000 	 0.750000 	 0.740000 	 15.690000 	 15.460000 	 15.860000 	 15.660000 	 375.980000 	 372.960000 	 379.760000 	 376.340000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.760000 	 0.750000 	 15.930000 	 15.880000 	 16.250000 	 16.060000 	 394.910000 	 389.000000 	 395.550000 	 392.260000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.790000 	 0.800000 	 0.790000 	 14.260000 	 15.910000 	 16.390000 	 16.150000 	 427.760000 	 382.700000 	 389.440000 	 386.050000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.760000 	 0.750000 	 14.590000 	 14.530000 	 14.970000 	 14.750000 	 428.930000 	 420.760000 	 429.230000 	 424.970000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.740000 	 0.740000 	 13.750000 	 13.680000 	 14.040000 	 13.860000 	 468.730000 	 460.120000 	 467.940000 	 464.020000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.740000 	 0.740000 	 13.920000 	 13.650000 	 13.960000 	 13.810000 	 450.640000 	 449.230000 	 455.890000 	 452.550000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.740000 	 0.750000 	 0.750000 	 15.020000 	 14.540000 	 14.980000 	 14.760000 	 430.170000 	 430.060000 	 438.950000 	 434.480000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.720000 	 0.730000 	 0.730000 	 15.520000 	 14.700000 	 15.160000 	 14.930000 	 389.460000 	 396.070000 	 404.800000 	 400.410000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.730000 	 0.740000 	 0.740000 	 16.400000 	 15.660000 	 16.080000 	 15.870000 	 386.970000 	 391.780000 	 398.770000 	 395.260000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.740000 	 0.730000 	 15.780000 	 15.650000 	 15.980000 	 15.810000 	 403.710000 	 399.850000 	 405.850000 	 402.830000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.740000 	 0.740000 	 15.330000 	 15.360000 	 15.680000 	 15.520000 	 420.940000 	 414.050000 	 419.860000 	 416.950000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.740000 	 0.740000 	 15.160000 	 14.800000 	 15.250000 	 15.030000 	 432.630000 	 431.410000 	 440.670000 	 436.020000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.740000 	 0.750000 	 0.750000 	 14.070000 	 14.460000 	 14.920000 	 14.690000 	 453.980000 	 434.880000 	 444.330000 	 439.580000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.750000 	 0.760000 	 0.760000 	 14.040000 	 14.240000 	 14.590000 	 14.410000 	 441.160000 	 428.250000 	 435.380000 	 431.800000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.680000 	 0.700000 	 0.690000 	 14.090000 	 12.240000 	 12.840000 	 12.540000 	 436.740000 	 475.490000 	 488.630000 	 482.010000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.740000 	 0.730000 	 14.350000 	 14.000000 	 14.370000 	 14.180000 	 427.020000 	 426.440000 	 434.280000 	 430.340000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.700000 	 0.720000 	 0.710000 	 14.860000 	 13.870000 	 14.520000 	 14.190000 	 431.170000 	 441.140000 	 453.180000 	 447.120000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.710000 	 0.730000 	 0.720000 	 16.080000 	 14.660000 	 15.300000 	 14.970000 	 426.610000 	 446.050000 	 459.260000 	 452.610000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.720000 	 0.730000 	 0.730000 	 15.390000 	 15.310000 	 15.730000 	 15.510000 	 418.060000 	 410.300000 	 418.330000 	 414.300000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.770000 	 0.780000 	 0.780000 	 15.360000 	 15.970000 	 16.650000 	 16.310000 	 413.230000 	 386.380000 	 396.540000 	 391.420000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.760000 	 0.760000 	 15.850000 	 15.790000 	 16.160000 	 15.970000 	 418.120000 	 411.390000 	 418.010000 	 414.690000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.750000 	 0.760000 	 0.760000 	 14.100000 	 14.620000 	 15.030000 	 14.820000 	 440.640000 	 419.080000 	 426.870000 	 422.960000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.740000 	 0.750000 	 0.750000 	 13.850000 	 13.790000 	 14.290000 	 14.040000 	 453.500000 	 444.210000 	 454.710000 	 449.430000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.740000 	 0.730000 	 14.240000 	 13.770000 	 14.160000 	 13.970000 	 440.260000 	 441.160000 	 449.780000 	 445.450000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.710000 	 0.730000 	 0.720000 	 14.980000 	 13.720000 	 14.340000 	 14.030000 	 421.620000 	 439.110000 	 452.010000 	 445.510000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.740000 	 0.730000 	 15.180000 	 15.070000 	 15.450000 	 15.260000 	 408.070000 	 401.750000 	 408.950000 	 405.330000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.740000 	 0.740000 	 0.740000 	 15.860000 	 15.770000 	 16.130000 	 15.950000 	 407.900000 	 402.870000 	 408.780000 	 405.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.700000 	 0.700000 	 0.700000 	 16.290000 	 14.490000 	 14.770000 	 14.630000 	 408.450000 	 439.950000 	 443.250000 	 441.600000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.740000 	 0.750000 	 0.740000 	 16.010000 	 15.610000 	 16.000000 	 15.810000 	 417.240000 	 415.920000 	 423.180000 	 419.530000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.740000 	 0.730000 	 15.150000 	 14.730000 	 15.070000 	 14.900000 	 451.730000 	 452.640000 	 460.130000 	 456.370000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.520000 	 0.530000 	 0.520000 	 21.310000 	 19.400000 	 19.920000 	 19.660000 	 532.330000 	 561.860000 	 575.380000 	 568.580000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.520000 	 0.530000 	 0.530000 	 20.600000 	 19.430000 	 20.000000 	 19.720000 	 542.290000 	 555.380000 	 569.910000 	 562.600000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.450000 	 0.470000 	 0.460000 	 20.970000 	 16.030000 	 17.110000 	 16.560000 	 543.150000 	 648.680000 	 687.290000 	 667.710000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.530000 	 0.530000 	 0.530000 	 19.920000 	 19.280000 	 19.680000 	 19.480000 	 578.910000 	 584.640000 	 595.160000 	 589.880000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.520000 	 0.530000 	 0.530000 	 21.130000 	 19.210000 	 19.780000 	 19.500000 	 583.230000 	 611.590000 	 627.770000 	 619.630000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.520000 	 0.530000 	 0.530000 	 20.570000 	 19.150000 	 19.710000 	 19.430000 	 594.150000 	 613.700000 	 629.790000 	 621.700000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.500000 	 0.510000 	 0.510000 	 20.770000 	 18.410000 	 18.840000 	 18.620000 	 599.000000 	 644.690000 	 657.810000 	 651.220000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
