a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.750000 	 0.740000 	 0.760000 	 0.750000 	 16.860000 	 16.740000 	 17.280000 	 17.000000 	 197.480000 	 193.990000 	 198.040000 	 196.010000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.760000 	 0.750000 	 16.210000 	 16.060000 	 16.510000 	 16.280000 	 217.320000 	 214.090000 	 218.420000 	 216.250000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.750000 	 0.760000 	 0.760000 	 15.160000 	 14.950000 	 15.360000 	 15.150000 	 243.010000 	 241.480000 	 246.000000 	 243.730000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.750000 	 0.770000 	 0.760000 	 13.940000 	 14.310000 	 14.730000 	 14.520000 	 269.670000 	 258.650000 	 263.710000 	 261.170000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.730000 	 0.740000 	 0.740000 	 14.190000 	 13.350000 	 13.740000 	 13.550000 	 260.320000 	 267.270000 	 272.300000 	 269.770000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.730000 	 0.750000 	 0.740000 	 14.250000 	 13.640000 	 14.040000 	 13.840000 	 241.880000 	 244.800000 	 249.500000 	 247.140000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.760000 	 0.760000 	 15.420000 	 15.590000 	 15.970000 	 15.780000 	 218.010000 	 212.410000 	 216.000000 	 214.200000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.730000 	 0.740000 	 0.740000 	 16.340000 	 15.630000 	 15.980000 	 15.810000 	 200.300000 	 203.430000 	 206.660000 	 205.040000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.730000 	 0.740000 	 0.740000 	 16.130000 	 16.360000 	 16.810000 	 16.590000 	 207.320000 	 200.760000 	 204.780000 	 202.760000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.720000 	 0.730000 	 0.730000 	 16.770000 	 15.950000 	 16.400000 	 16.180000 	 207.110000 	 210.470000 	 214.790000 	 212.620000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.750000 	 0.750000 	 0.750000 	 15.950000 	 16.020000 	 16.360000 	 16.190000 	 227.610000 	 223.100000 	 226.490000 	 224.790000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.720000 	 0.740000 	 0.730000 	 14.760000 	 14.230000 	 14.790000 	 14.510000 	 246.990000 	 246.650000 	 253.460000 	 250.030000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.740000 	 0.740000 	 14.160000 	 13.860000 	 14.250000 	 14.050000 	 264.010000 	 261.720000 	 266.730000 	 264.210000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.710000 	 0.710000 	 0.710000 	 14.080000 	 12.850000 	 13.220000 	 13.030000 	 252.600000 	 266.760000 	 271.090000 	 268.910000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.770000 	 0.780000 	 0.780000 	 14.080000 	 14.860000 	 15.480000 	 15.170000 	 239.260000 	 223.330000 	 228.470000 	 225.890000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.740000 	 0.750000 	 0.750000 	 15.330000 	 15.160000 	 15.530000 	 15.340000 	 210.760000 	 208.430000 	 211.920000 	 210.170000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.780000 	 0.790000 	 0.780000 	 16.130000 	 17.140000 	 17.620000 	 17.370000 	 199.670000 	 185.470000 	 188.610000 	 187.030000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.670000 	 0.690000 	 0.680000 	 17.650000 	 14.510000 	 15.200000 	 14.850000 	 193.710000 	 220.070000 	 226.610000 	 223.320000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.740000 	 0.740000 	 16.380000 	 16.650000 	 17.050000 	 16.850000 	 203.970000 	 197.710000 	 201.160000 	 199.430000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.770000 	 0.750000 	 0.760000 	 0.760000 	 16.440000 	 15.870000 	 16.260000 	 16.070000 	 204.550000 	 206.330000 	 209.890000 	 208.100000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.760000 	 0.760000 	 15.550000 	 15.490000 	 15.830000 	 15.660000 	 228.880000 	 225.710000 	 229.200000 	 227.450000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.670000 	 0.690000 	 0.680000 	 14.320000 	 12.320000 	 13.210000 	 12.760000 	 248.010000 	 273.230000 	 283.510000 	 278.320000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.740000 	 0.750000 	 0.750000 	 14.220000 	 13.850000 	 14.290000 	 14.070000 	 245.960000 	 246.120000 	 251.190000 	 248.640000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.710000 	 0.720000 	 0.720000 	 14.690000 	 13.700000 	 14.180000 	 13.940000 	 234.700000 	 242.630000 	 248.090000 	 245.340000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
