a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.750000 	 0.710000 	 0.760000 	 0.730000 	 16.860000 	 15.500000 	 17.540000 	 16.490000 	 197.480000 	 195.490000 	 207.580000 	 201.450000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.690000 	 0.780000 	 0.730000 	 16.210000 	 12.950000 	 16.740000 	 14.720000 	 217.320000 	 210.620000 	 241.150000 	 225.370000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.800000 	 0.840000 	 0.820000 	 15.160000 	 15.910000 	 17.870000 	 16.870000 	 243.010000 	 216.910000 	 229.180000 	 222.960000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.720000 	 0.770000 	 0.750000 	 13.940000 	 13.180000 	 15.160000 	 14.130000 	 269.670000 	 257.500000 	 275.530000 	 266.360000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.710000 	 0.760000 	 0.730000 	 14.190000 	 12.460000 	 14.390000 	 13.390000 	 260.320000 	 262.880000 	 281.150000 	 271.860000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.700000 	 0.750000 	 0.720000 	 14.250000 	 12.070000 	 13.970000 	 12.990000 	 241.880000 	 246.750000 	 264.480000 	 255.460000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.710000 	 0.750000 	 0.730000 	 15.420000 	 13.700000 	 15.300000 	 14.480000 	 218.010000 	 218.380000 	 230.900000 	 224.550000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.760000 	 0.790000 	 0.780000 	 16.340000 	 15.930000 	 17.630000 	 16.760000 	 200.300000 	 189.170000 	 198.400000 	 193.730000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.740000 	 0.780000 	 0.760000 	 16.130000 	 16.810000 	 18.780000 	 17.770000 	 207.320000 	 190.880000 	 201.140000 	 195.940000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.710000 	 0.760000 	 0.730000 	 16.770000 	 15.590000 	 18.380000 	 16.930000 	 207.110000 	 200.960000 	 217.120000 	 208.880000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
