f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
103.95	0.0010593	5.9553e-05	0.1	0.0011101	2e-06	0.0023527	0	1e-06	0.001037	2e-06	3.6246e+07	0	1e-06	1.2329e+08
112.3	0.0010757	4.5351e-05	0.10186	0.0011101	3e-06	0.00384	0	1.0139e-06	0.0010555	3e-06	2.7773e+07	0	1.0139e-06	1.2097e+08
121.36	0.0010665	5.5829e-05	0.10376	0.0011101	4e-06	0.0053827	0	1.028e-06	0.0010743	4e-06	1.6403e+07	0	1.028e-06	1.187e+08
131.01	0.0010273	4.6861e-05	0.10569	0.0011101	5e-06	0.0069583	0	1.0424e-06	0.0010934	5e-06	1.1302e+07	0	1.0424e-06	1.1647e+08
141.38	0.00095316	4.441e-05	0.10765	0.0011101	6e-06	0.0085565	0	1.0569e-06	0.0011129	6e-06	8.645e+06	0	1.0569e-06	1.1428e+08
152.59	0.00093066	3.7994e-05	0.10966	0.0011101	7e-06	0.010172	0	1.0716e-06	0.0011326	7e-06	6.7223e+06	0	1.0716e-06	1.1212e+08
164.75	0.00087502	3.7512e-05	0.1117	0.0011101	8e-06	0.011801	0	1.0865e-06	0.0011527	8e-06	5.2735e+06	0	1.0865e-06	1.1e+08
177.98	0.00088047	3.7172e-05	0.11378	0.0011101	9e-06	0.01344	0	1.1016e-06	0.0011731	9e-06	4.1283e+06	0	1.1016e-06	1.0792e+08
192.17	0.00087008	2.969e-05	0.11589	0.0011101	1e-05	0.015088	0	1.117e-06	0.0011939	1e-05	3.3972e+06	0	1.117e-06	1.0588e+08
207.42	0.00076441	2.4893e-05	0.11805	0.0011101	1.1e-05	0.016743	0	1.1325e-06	0.001215	1.1e-05	3.0036e+06	0	1.1325e-06	1.0387e+08
223.99	0.00072662	2.2748e-05	0.12025	0.0011101	1.2e-05	0.018403	0	1.1483e-06	0.0012364	1.2e-05	2.189e+06	0	1.1483e-06	1.019e+08
241.88	0.00068244	2.2847e-05	0.12249	0.0011101	1.3e-05	0.020068	0	1.1643e-06	0.0012582	1.3e-05	1.7541e+06	0	1.1643e-06	9.9957e+07
261.19	0.00068988	1.9972e-05	0.12477	0.0011101	1.4e-05	0.021736	0	1.1805e-06	0.0012803	1.4e-05	1.348e+06	0	1.1805e-06	9.8052e+07
282.05	0.00063156	1.7703e-05	0.12709	0.0011101	1.5e-05	0.023407	0	1.197e-06	0.0013028	1.5e-05	1.1276e+06	0	1.197e-06	9.618e+07
304.58	0.00054376	1.5588e-05	0.12945	0.0011101	1.65e-05	0.025918	0.00083766	1.2136e-06	0.0013257	1.65e-05	7.4374e+05	2.3635e+05	1.2136e-06	9.4342e+07
328.9	0.00048883	1.355e-05	0.13186	0.0011101	1.8e-05	0.028432	0	1.2305e-06	0.0013489	1.8e-05	4.0845e+05	0	1.2305e-06	9.2536e+07
355.12	0.00045599	1.12e-05	0.13432	0.0011101	1.9e-05	0.03011	0	1.2477e-06	0.0013725	1.9e-05	2.4006e+05	0	1.2477e-06	9.0762e+07
383.38	0.00041122	9.3599e-06	0.13682	0.0011101	2.05e-05	0.032626	0.00083893	1.265e-06	0.0013965	2.05e-05	1.8862e+05	75183	1.265e-06	8.902e+07
413.89	0.00038726	9.6772e-06	0.13936	0.0011101	2.25e-05	0.035983	0.00083946	1.2826e-06	0.0014209	2.25e-05	2.5e+05	17003	1.2826e-06	8.7309e+07
446.92	0.00032514	8.1454e-06	0.14196	0.0011101	2.45e-05	0.039341	0.00083942	1.3005e-06	0.0014457	2.45e-05	2.4319e+05	31648	1.3005e-06	8.5629e+07
482.68	0.00030137	7.219e-06	0.1446	0.0011102	2.65e-05	0.042698	0.00083871	1.3186e-06	0.0014709	2.65e-05	4.706e+05	24544	1.3186e-06	8.3978e+07
521.18	0.00026615	5.6285e-06	0.14729	0.0011102	2.85e-05	0.046051	0.00083789	1.337e-06	0.0014965	2.85e-05	3.834e+05	15520	1.337e-06	8.2357e+07
562.67	0.00024608	5.5257e-06	0.15003	0.0011102	3.05e-05	0.049401	0.00083724	1.3556e-06	0.0015225	3.05e-05	3.0888e+05	54391	1.3556e-06	8.0765e+07
607.61	0.00021316	4.0001e-06	0.15282	0.0011102	3.3e-05	0.053584	0.00096533	1.3745e-06	0.0015489	3.3e-05	6.5882e+05	1.8005e+05	1.3745e-06	7.9202e+07
656.13	0.00018201	3.4706e-06	0.15567	0.0011102	3.55e-05	0.05776	0.00083389	1.3936e-06	0.0015758	3.55e-05	6.2738e+05	3.804e+05	1.3936e-06	7.7667e+07
708.46	0.00015961	3.1617e-06	0.15856	0.0011102	3.8e-05	0.061926	0.00096131	1.413e-06	0.001603	3.8e-05	7.5587e+05	45361	1.413e-06	7.616e+07
764.97	0.00014237	2.5724e-06	0.16151	0.0011102	4.1e-05	0.066915	0.00095875	1.4327e-06	0.0016308	4.1e-05	7.3855e+05	40558	1.4327e-06	7.468e+07
