a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.740000 	 0.760000 	 0.790000 	 0.770000 	 15.690000 	 15.830000 	 17.300000 	 16.550000 	 375.980000 	 352.300000 	 367.690000 	 359.910000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.740000 	 0.790000 	 0.760000 	 15.930000 	 15.680000 	 17.930000 	 16.770000 	 394.910000 	 371.480000 	 396.360000 	 383.720000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.700000 	 0.760000 	 0.730000 	 14.260000 	 13.170000 	 15.860000 	 14.450000 	 427.760000 	 406.310000 	 446.310000 	 425.840000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.760000 	 0.790000 	 0.780000 	 14.590000 	 14.380000 	 15.550000 	 14.950000 	 428.930000 	 403.640000 	 419.520000 	 411.510000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.740000 	 0.790000 	 0.770000 	 13.750000 	 13.900000 	 15.850000 	 14.850000 	 468.730000 	 432.110000 	 459.410000 	 445.550000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.690000 	 0.730000 	 0.710000 	 13.920000 	 11.980000 	 13.560000 	 12.740000 	 450.640000 	 461.890000 	 489.590000 	 475.540000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.730000 	 0.770000 	 0.750000 	 15.020000 	 14.880000 	 16.980000 	 15.890000 	 430.170000 	 416.300000 	 443.480000 	 429.680000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.780000 	 0.750000 	 15.520000 	 14.850000 	 17.500000 	 16.120000 	 389.460000 	 369.850000 	 399.080000 	 384.190000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.690000 	 0.730000 	 0.710000 	 16.400000 	 14.970000 	 17.030000 	 15.970000 	 386.970000 	 396.740000 	 422.550000 	 409.440000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.670000 	 0.730000 	 0.700000 	 15.780000 	 13.490000 	 16.160000 	 14.760000 	 403.710000 	 404.500000 	 443.590000 	 423.590000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.750000 	 0.780000 	 0.770000 	 15.330000 	 15.440000 	 16.890000 	 16.150000 	 420.940000 	 389.640000 	 407.170000 	 398.310000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.720000 	 0.760000 	 0.740000 	 15.160000 	 14.640000 	 16.110000 	 15.360000 	 432.630000 	 422.940000 	 442.390000 	 432.550000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.710000 	 0.750000 	 0.730000 	 14.070000 	 13.830000 	 15.270000 	 14.530000 	 453.980000 	 439.860000 	 461.830000 	 450.710000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.750000 	 0.740000 	 14.040000 	 13.610000 	 14.600000 	 14.100000 	 441.160000 	 436.600000 	 452.010000 	 444.240000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.700000 	 0.740000 	 0.720000 	 14.090000 	 12.300000 	 14.040000 	 13.140000 	 436.740000 	 441.370000 	 471.020000 	 455.960000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.660000 	 0.710000 	 0.690000 	 14.350000 	 12.400000 	 14.540000 	 13.430000 	 427.020000 	 442.510000 	 478.520000 	 460.160000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.710000 	 0.740000 	 0.730000 	 14.860000 	 14.040000 	 15.280000 	 14.650000 	 431.170000 	 426.630000 	 444.320000 	 435.390000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.730000 	 0.790000 	 0.760000 	 16.080000 	 14.820000 	 17.630000 	 16.160000 	 426.610000 	 409.400000 	 443.710000 	 426.210000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.660000 	 0.710000 	 0.690000 	 15.390000 	 12.900000 	 15.230000 	 14.020000 	 418.060000 	 428.730000 	 465.250000 	 446.610000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.740000 	 0.790000 	 0.770000 	 15.360000 	 15.310000 	 17.650000 	 16.440000 	 413.230000 	 385.030000 	 411.040000 	 397.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.760000 	 0.800000 	 0.780000 	 15.850000 	 15.830000 	 17.810000 	 16.790000 	 418.120000 	 391.010000 	 413.700000 	 402.190000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.690000 	 0.730000 	 0.710000 	 14.100000 	 12.820000 	 14.440000 	 13.600000 	 440.640000 	 441.900000 	 468.430000 	 454.970000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.710000 	 0.770000 	 0.740000 	 13.850000 	 11.980000 	 14.060000 	 12.980000 	 453.500000 	 437.970000 	 474.770000 	 456.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.700000 	 0.750000 	 0.730000 	 14.240000 	 12.100000 	 13.890000 	 12.960000 	 440.260000 	 437.420000 	 467.370000 	 452.150000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.720000 	 0.770000 	 0.750000 	 14.980000 	 14.340000 	 16.480000 	 15.370000 	 421.620000 	 409.240000 	 436.840000 	 422.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.700000 	 0.730000 	 0.710000 	 15.180000 	 14.140000 	 15.370000 	 14.740000 	 408.070000 	 410.300000 	 428.570000 	 419.340000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
