f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
103.95	0.0017415	8.3431e-05	0.1	0.0020664	2e-06	0.0016832	0	1e-06	0.00067812	2e-06	4.7273e+07	0	1e-06	1.2677e+08
112.3	0.0016468	7.5317e-05	0.10186	0.0020664	3e-06	0.0028158	0	1.0139e-06	0.00069113	3e-06	2.9136e+07	0	1.0139e-06	1.2463e+08
121.36	0.001597	7.0944e-05	0.10376	0.0020664	4e-06	0.0040066	0	1.028e-06	0.00070437	4e-06	1.8518e+07	0	1.028e-06	1.2252e+08
131.01	0.0015458	6.8951e-05	0.10569	0.0020664	5e-06	0.0052345	0	1.0424e-06	0.00071784	5e-06	1.3204e+07	0	1.0424e-06	1.2044e+08
141.38	0.0014807	6.9995e-05	0.10765	0.0020664	6e-06	0.0064888	0	1.0569e-06	0.00073156	6e-06	1.0154e+07	0	1.0569e-06	1.1839e+08
152.59	0.0012658	5.6181e-05	0.10966	0.0020664	7e-06	0.0077634	0	1.0716e-06	0.00074551	7e-06	7.9379e+06	0	1.0716e-06	1.1637e+08
164.75	0.001323	4.9837e-05	0.1117	0.0020664	8e-06	0.0090538	0	1.0865e-06	0.00075971	8e-06	6.4686e+06	0	1.0865e-06	1.1438e+08
177.98	0.0012177	4.1323e-05	0.11378	0.0020664	9e-06	0.010357	0	1.1016e-06	0.00077416	9e-06	5.3572e+06	0	1.1016e-06	1.1242e+08
192.17	0.0010543	4.0096e-05	0.11589	0.0020664	1e-05	0.011671	0	1.117e-06	0.00078887	1e-05	4.3702e+06	0	1.117e-06	1.1049e+08
207.42	0.0010171	3.4747e-05	0.11805	0.0020664	1.1e-05	0.012994	0	1.1325e-06	0.00080383	1.1e-05	3.7515e+06	0	1.1325e-06	1.0858e+08
223.99	0.0009716	3.1388e-05	0.12025	0.0020665	1.2e-05	0.014325	0	1.1483e-06	0.00081906	1.2e-05	2.8528e+06	0	1.1483e-06	1.0671e+08
241.88	0.00081637	2.3057e-05	0.12249	0.0020665	1.3e-05	0.015661	0	1.1643e-06	0.00083455	1.3e-05	2.6999e+06	0	1.1643e-06	1.0486e+08
261.19	0.0007914	2.5883e-05	0.12477	0.0020665	1.4e-05	0.017002	0	1.1805e-06	0.00085031	1.4e-05	2.2057e+06	0	1.1805e-06	1.0304e+08
282.05	0.0006998	2.2144e-05	0.12709	0.0020665	1.5e-05	0.018348	0	1.197e-06	0.00086634	1.5e-05	1.9026e+06	0	1.197e-06	1.0125e+08
304.58	0.00059517	1.8187e-05	0.12945	0.0020665	1.65e-05	0.020374	0.0006765	1.2136e-06	0.00088266	1.65e-05	1.6029e+06	49104	1.2136e-06	9.9484e+07
328.9	0.00052535	1.2806e-05	0.13186	0.0020665	1.8e-05	0.022407	0	1.2305e-06	0.00089926	1.8e-05	1.5121e+06	0	1.2305e-06	9.7746e+07
355.12	0.00046922	1.3608e-05	0.13432	0.0020665	1.9e-05	0.023766	0	1.2477e-06	0.00091614	1.9e-05	1.396e+06	0	1.2477e-06	9.6034e+07
383.38	0.00041237	1.0057e-05	0.13682	0.0020665	2.05e-05	0.02581	0.00068209	1.265e-06	0.00093332	2.05e-05	1.0131e+06	1.1639e+05	1.265e-06	9.4349e+07
413.89	0.00037459	9.2301e-06	0.13936	0.0020665	2.25e-05	0.028542	0.00068375	1.2826e-06	0.0009508	2.25e-05	7.9471e+05	33251	1.2826e-06	9.269e+07
446.92	0.0003306	7.502e-06	0.14196	0.0020665	2.45e-05	0.03128	0.00068512	1.3005e-06	0.00096858	2.45e-05	6.3126e+05	87173	1.3005e-06	9.1056e+07
482.68	0.00029112	6.7047e-06	0.1446	0.0020666	2.65e-05	0.034023	0.00068636	1.3186e-06	0.00098666	2.65e-05	4.599e+05	60531	1.3186e-06	8.9448e+07
521.18	0.00025442	5.7929e-06	0.14729	0.0020666	2.85e-05	0.03677	0.00068716	1.337e-06	0.0010051	2.85e-05	3.8323e+05	15424	1.337e-06	8.7864e+07
562.67	0.00021303	4.0274e-06	0.15003	0.0020666	3.05e-05	0.03952	0.00068782	1.3556e-06	0.0010238	3.05e-05	2.5362e+05	43833	1.3556e-06	8.6305e+07
607.61	0.00019724	4.3774e-06	0.15282	0.0020666	3.3e-05	0.04296	0.00079446	1.3745e-06	0.0010428	3.3e-05	41216	89630	1.3745e-06	8.4771e+07
656.13	0.00016466	3.6014e-06	0.15567	0.0020666	3.55e-05	0.0464	0.00068783	1.3936e-06	0.0010622	3.55e-05	36280	2.8487e+05	1.3936e-06	8.3261e+07
708.46	0.00013921	2.8743e-06	0.15856	0.0020666	3.8e-05	0.04984	0.00079414	1.413e-06	0.0010819	3.8e-05	2.0673e+05	49173	1.413e-06	8.1775e+07
764.97	0.00012518	2.3164e-06	0.16151	0.0020666	4.1e-05	0.053964	0.00079352	1.4327e-06	0.0011019	4.1e-05	2.0032e+05	30154	1.4327e-06	8.0312e+07
826	0.00010625	1.9327e-06	0.16452	0.0020666	4.45e-05	0.058772	0.00088636	1.4527e-06	0.0011223	4.45e-05	2.5934e+05	1.1387e+05	1.4527e-06	7.8872e+07
891.92	8.7829e-05	1.5062e-06	0.16758	0.0020666	4.85e-05	0.06426	0.00088489	1.4729e-06	0.001143	4.85e-05	2.6614e+05	73078	1.4729e-06	7.7455e+07
963.09	8.0343e-05	1.3048e-06	0.1707	0.0020666	5.25e-05	0.069738	0.00088315	1.4934e-06	0.0011641	5.25e-05	3.7445e+05	30354	1.4934e-06	7.6061e+07
