f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
5.0068	2.4512	0	0.1	2.2635	2e-06	1.1924	0	1e-06	0.49395	2e-06	1.3703e+10	0	1e-06	6.3042e+10
5.2452	2.4114	0	0.10186	2.2635	3e-06	1.9297	0	1.0139e-06	0.50294	3e-06	1.6279e+10	0	1.0139e-06	6.1814e+10
5.4836	2.842	0	0.10376	2.2636	4e-06	2.6996	0	1.028e-06	0.51208	4e-06	8.2342e+09	0	1.028e-06	6.0607e+10
5.722	4.1377	0	0.10569	2.2636	5e-06	3.4859	0	1.0424e-06	0.52137	5e-06	5.8317e+09	0	1.0424e-06	5.9422e+10
5.9605	1.3634	0	0.10765	2.2636	6e-06	4.2839	0	1.0569e-06	0.53081	6e-06	4.5884e+09	0	1.0569e-06	5.8259e+10
6.1989	2.513	0	0.10966	2.2636	7e-06	5.091	0	1.0716e-06	0.54041	7e-06	3.4958e+09	0	1.0716e-06	5.7116e+10
6.4373	2.0141	0	0.1117	2.2636	8e-06	5.9052	0	1.0865e-06	0.55016	8e-06	2.6941e+09	0	1.0865e-06	5.5995e+10
6.7949	3.3295	1.1789	0.11378	2.2636	9e-06	6.7247	0	1.1016e-06	0.56008	9e-06	2.1029e+09	0	1.1016e-06	5.4894e+10
7.1526	3.7118	0	0.11589	2.2636	1e-05	7.5485	0	1.117e-06	0.57017	1e-05	1.7007e+09	0	1.117e-06	5.3813e+10
7.391	4.1997	0	0.11805	2.2636	1.1e-05	8.3756	0	1.1325e-06	0.58042	1.1e-05	1.4433e+09	0	1.1325e-06	5.2752e+10
7.7486	2.9508	0.80439	0.12025	2.2636	1.2e-05	9.2056	0	1.1483e-06	0.59083	1.2e-05	1.3483e+09	0	1.1483e-06	5.171e+10
8.1062	2.6373	0	0.12249	2.2636	1.3e-05	10.038	0	1.1643e-06	0.60142	1.3e-05	1.0784e+09	0	1.1643e-06	5.0688e+10
8.4639	3.2544	0.13908	0.12477	2.2636	1.4e-05	10.873	0	1.1805e-06	0.61219	1.4e-05	9.7457e+08	0	1.1805e-06	4.9685e+10
8.9407	2.7861	0.34122	0.12709	2.2636	1.5e-05	11.71	0	1.197e-06	0.62313	1.5e-05	8.1125e+08	0	1.197e-06	4.87e+10
9.4175	3.3048	0.17655	0.12945	2.2636	1.65e-05	12.968	0.41993	1.2136e-06	0.63424	1.65e-05	6.3511e+08	6.7184e+07	1.2136e-06	4.7733e+10
9.7752	2.1214	0	0.13186	2.2636	1.8e-05	14.229	0	1.2305e-06	0.64555	1.8e-05	5.9697e+08	0	1.2305e-06	4.6785e+10
10.133	3.1234	0.49303	0.13432	2.2636	1.9e-05	15.072	0	1.2477e-06	0.65703	1.9e-05	4.5707e+08	0	1.2477e-06	4.5854e+10
10.61	2.4777	0.29681	0.13682	2.2637	2.05e-05	16.337	0.42182	1.265e-06	0.6687	2.05e-05	2.4106e+08	2.3831e+07	1.265e-06	4.4941e+10
11.206	3.4319	0.20566	0.13936	2.2637	2.25e-05	18.025	0.42216	1.2826e-06	0.68057	2.25e-05	2.0652e+08	8.6096e+07	1.2826e-06	4.4044e+10
