f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
102.4	1.5634	0.066367	0.1	2.3447	2e-06	1.2115	0	1e-06	0.51022	2e-06	1.3923e+10	0	1e-06	6.3242e+10
107.17	1.4725	0.085808	0.10186	2.3447	3e-06	1.9607	0	1.0139e-06	0.51947	3e-06	1.6541e+10	0	1.0139e-06	6.2004e+10
112.18	1.4782	0.080645	0.10376	2.3447	4e-06	2.7429	0	1.028e-06	0.52886	4e-06	8.3664e+09	0	1.028e-06	6.0789e+10
117.54	1.5468	0.09122	0.10569	2.3447	5e-06	3.5418	0	1.0424e-06	0.53841	5e-06	5.9253e+09	0	1.0424e-06	5.9596e+10
123.14	1.4406	0.069835	0.10765	2.3447	6e-06	4.3526	0	1.0569e-06	0.54812	6e-06	4.6621e+09	0	1.0569e-06	5.8424e+10
128.87	1.23	0.10441	0.10966	2.3447	7e-06	5.1727	0	1.0716e-06	0.55799	7e-06	3.5519e+09	0	1.0716e-06	5.7274e+10
134.83	1.3437	0.092182	0.1117	2.3447	8e-06	6	0	1.0865e-06	0.56802	8e-06	2.7373e+09	0	1.0865e-06	5.6145e+10
141.26	1.2009	0.061991	0.11378	2.3447	9e-06	6.8327	0	1.1016e-06	0.57822	9e-06	2.1367e+09	0	1.1016e-06	5.5037e+10
147.94	1.2336	0.0766	0.11589	2.3447	1e-05	7.6696	0	1.117e-06	0.58858	1e-05	1.728e+09	0	1.117e-06	5.395e+10
154.85	1.0526	0.048745	0.11805	2.3447	1.1e-05	8.51	0	1.1325e-06	0.59912	1.1e-05	1.4664e+09	0	1.1325e-06	5.2882e+10
162.24	0.99612	0.040408	0.12025	2.3447	1.2e-05	9.3534	0	1.1483e-06	0.60982	1.2e-05	1.3699e+09	0	1.1483e-06	5.1834e+10
169.87	1.0907	0.049956	0.12249	2.3447	1.3e-05	10.2	0	1.1643e-06	0.62071	1.3e-05	1.0957e+09	0	1.1643e-06	5.0806e+10
177.86	0.92914	0.041793	0.12477	2.3447	1.4e-05	11.048	0	1.1805e-06	0.63177	1.4e-05	9.9022e+08	0	1.1805e-06	4.9797e+10
186.32	0.84562	0.04397	0.12709	2.3447	1.5e-05	11.898	0	1.197e-06	0.64301	1.5e-05	8.2427e+08	0	1.197e-06	4.8806e+10
195.03	0.786	0.027441	0.12945	2.3448	1.65e-05	13.177	0.42667	1.2136e-06	0.65443	1.65e-05	6.453e+08	6.8263e+07	1.2136e-06	4.7834e+10
204.21	0.75406	0.036403	0.13186	2.3448	1.8e-05	14.458	0	1.2305e-06	0.66605	1.8e-05	6.0655e+08	0	1.2305e-06	4.6881e+10
213.86	0.72778	0.035658	0.13432	2.3448	1.9e-05	15.314	0	1.2477e-06	0.67785	1.9e-05	4.6441e+08	0	1.2477e-06	4.5945e+10
223.88	0.64651	0.027249	0.13682	2.3448	2.05e-05	16.599	0.42859	1.265e-06	0.68984	2.05e-05	2.4493e+08	2.4214e+07	1.265e-06	4.5027e+10
234.48	0.65135	0.03104	0.13936	2.3448	2.25e-05	18.314	0.42893	1.2826e-06	0.70203	2.25e-05	2.0983e+08	8.7478e+07	1.2826e-06	4.4126e+10
245.57	0.68737	0.030855	0.14196	2.3448	2.45e-05	20.031	0.42924	1.3005e-06	0.71441	2.45e-05	6.2609e+07	5.3366e+07	1.3005e-06	4.3243e+10
257.13	0.5208	0.019732	0.1446	2.3448	2.65e-05	21.748	0.42941	1.3186e-06	0.727	2.65e-05	7.247e+07	2.0099e+07	1.3186e-06	4.2376e+10
269.29	0.53203	0.021242	0.14729	2.3448	2.85e-05	23.466	0.42955	1.337e-06	0.73979	2.85e-05	6.553e+07	1.3965e+07	1.337e-06	4.1526e+10
281.93	0.47751	0.018023	0.15003	2.3448	3.05e-05	25.184	0.42965	1.3556e-06	0.75278	3.05e-05	6.6096e+06	1.1168e+07	1.3556e-06	4.0691e+10
295.16	0.43768	0.018065	0.15282	2.3448	3.3e-05	27.332	0.49601	1.3745e-06	0.76599	3.3e-05	8.9193e+06	6.7741e+07	1.3745e-06	3.9873e+10
309.11	0.38796	0.013509	0.15567	2.3448	3.55e-05	29.48	0.4294	1.3936e-06	0.77941	3.55e-05	1.7792e+08	9.3917e+07	1.3936e-06	3.9071e+10
323.65	0.40256	0.016871	0.15856	2.3448	3.8e-05	31.627	0.4957	1.413e-06	0.79304	3.8e-05	6.6334e+07	4.3157e+07	1.413e-06	3.8283e+10
338.91	0.32633	0.01171	0.16151	2.3448	4.1e-05	34.201	0.49516	1.4327e-06	0.80689	4.1e-05	2.0816e+08	2.94e+07	1.4327e-06	3.7511e+10
354.89	0.30725	0.011581	0.16452	2.3448	4.45e-05	37.201	0.55297	1.4527e-06	0.82097	4.45e-05	9.697e+07	3.8588e+07	1.4527e-06	3.6754e+10
371.58	0.30059	0.01112	0.16758	2.3449	4.85e-05	40.625	0.55183	1.4729e-06	0.83527	4.85e-05	2.7124e+08	9.3835e+07	1.4729e-06	3.6011e+10
389.1	0.27371	0.0099651	0.1707	2.3449	5.25e-05	44.041	0.55061	1.4934e-06	0.84981	5.25e-05	3.1048e+08	5.5324e+07	1.4934e-06	3.5283e+10
407.46	0.2389	0.0084447	0.17388	2.3449	5.65e-05	47.447	0.54888	1.5142e-06	0.86457	5.65e-05	3.0723e+08	5.1002e+07	1.5142e-06	3.4568e+10
426.65	0.23018	0.0075152	0.17711	2.3449	6.1e-05	51.267	0.59917	1.5353e-06	0.87957	6.1e-05	3.4499e+08	2.2577e+07	1.5353e-06	3.3868e+10
446.8	0.20305	0.0056696	0.18041	2.3449	6.6e-05	55.496	0.59697	1.5567e-06	0.89481	6.6e-05	3.2082e+08	2.7986e+07	1.5567e-06	3.3181e+10
467.9	0.19857	0.0059322	0.18377	2.3449	7.1e-05	59.708	0.5946	1.5783e-06	0.91029	7.1e-05	3.4277e+08	7.1174e+07	1.5783e-06	3.2508e+10
489.95	0.18943	0.0053066	0.18719	2.3449	7.65e-05	64.323	0.63951	1.6003e-06	0.92602	7.65e-05	2.8243e+08	3.575e+07	1.6003e-06	3.1847e+10
513.08	0.16254	0.0051691	0.19067	2.3449	8.25e-05	69.336	0.6369	1.6226e-06	0.942	8.25e-05	3.279e+08	5.2796e+07	1.6226e-06	3.12e+10
537.16	0.14811	0.0043263	0.19422	2.3449	8.9e-05	74.741	0.67717	1.6452e-06	0.95824	8.9e-05	3.2973e+08	1.758e+07	1.6452e-06	3.0565e+10
562.43	0.13727	0.0044972	0.19783	2.3449	9.6e-05	80.53	0.67322	1.6681e-06	0.97473	9.6e-05	3.8964e+08	4.8309e+07	1.6681e-06	2.9942e+10
589.01	0.12126	0.0031216	0.20151	2.3449	0.0001035	86.693	0.70951	1.6913e-06	0.99149	0.0001035	3.1719e+08	3.9944e+07	1.6913e-06	2.9332e+10
616.79	0.115	0.0026924	0.20526	2.3449	0.000112	93.632	0.74262	1.7149e-06	1.0085	0.000112	3.5172e+08	4.2489e+07	1.7149e-06	2.8733e+10
645.88	0.10312	0.0025773	0.20908	2.345	0.000121	100.93	0.73731	1.7388e-06	1.0258	0.000121	2.7389e+08	3.796e+07	1.7388e-06	2.8147e+10
676.27	0.097187	0.0024298	0.21297	2.345	0.0001305	108.58	0.7684	1.763e-06	1.0434	0.0001305	3.0041e+08	2.3482e+07	1.763e-06	2.7572e+10
708.1	0.086562	0.0021217	0.21694	2.345	0.000141	116.97	0.79569	1.7875e-06	1.0612	0.000141	3.3785e+08	1.9081e+07	1.7875e-06	2.7008e+10
