f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
102.4	1.5921	0.067586	0.1	2.2336	2e-06	1.2338	0	1e-06	0.52725	2e-06	1.4179e+10	0	1e-06	6.3423e+10
107.17	1.4995	0.087384	0.10186	2.2336	3e-06	1.9967	0	1.0139e-06	0.53676	3e-06	1.6844e+10	0	1.0139e-06	6.2176e+10
112.18	1.5053	0.082127	0.10376	2.2336	4e-06	2.7933	0	1.028e-06	0.54643	4e-06	8.5201e+09	0	1.028e-06	6.0952e+10
117.54	1.5752	0.092895	0.10569	2.2336	5e-06	3.6069	0	1.0424e-06	0.55625	5e-06	6.0341e+09	0	1.0424e-06	5.9751e+10
123.14	1.467	0.071117	0.10765	2.2336	6e-06	4.4326	0	1.0569e-06	0.56624	6e-06	4.7477e+09	0	1.0569e-06	5.8572e+10
128.87	1.2526	0.10633	0.10966	2.2336	7e-06	5.2677	0	1.0716e-06	0.57639	7e-06	3.6172e+09	0	1.0716e-06	5.7414e+10
134.83	1.3683	0.093875	0.1117	2.2336	8e-06	6.1102	0	1.0865e-06	0.5867	8e-06	2.7876e+09	0	1.0865e-06	5.6278e+10
141.26	1.2229	0.06313	0.11378	2.2336	9e-06	6.9581	0	1.1016e-06	0.59719	9e-06	2.1759e+09	0	1.1016e-06	5.5163e+10
147.94	1.2563	0.078007	0.11589	2.2336	1e-05	7.8105	0	1.117e-06	0.60785	1e-05	1.7597e+09	0	1.117e-06	5.4069e+10
154.85	1.0719	0.04964	0.11805	2.2337	1.1e-05	8.6664	0	1.1325e-06	0.61868	1.1e-05	1.4934e+09	0	1.1325e-06	5.2995e+10
162.24	1.0144	0.04115	0.12025	2.2337	1.2e-05	9.5252	0	1.1483e-06	0.62969	1.2e-05	1.3951e+09	0	1.1483e-06	5.1941e+10
169.87	1.1107	0.050874	0.12249	2.2337	1.3e-05	10.387	0	1.1643e-06	0.64088	1.3e-05	1.1158e+09	0	1.1643e-06	5.0907e+10
177.86	0.94621	0.042561	0.12477	2.2337	1.4e-05	11.251	0	1.1805e-06	0.65225	1.4e-05	1.0084e+09	0	1.1805e-06	4.9892e+10
186.32	0.86116	0.044778	0.12709	2.2337	1.5e-05	12.117	0	1.197e-06	0.6638	1.5e-05	8.3941e+08	0	1.197e-06	4.8896e+10
195.03	0.80044	0.027945	0.12945	2.2337	1.65e-05	13.419	0.43451	1.2136e-06	0.67555	1.65e-05	6.5715e+08	6.9516e+07	1.2136e-06	4.7919e+10
204.21	0.76791	0.037071	0.13186	2.2337	1.8e-05	14.723	0	1.2305e-06	0.68748	1.8e-05	6.1769e+08	0	1.2305e-06	4.6961e+10
213.86	0.74115	0.036313	0.13432	2.2337	1.9e-05	15.595	0	1.2477e-06	0.69961	1.9e-05	4.7294e+08	0	1.2477e-06	4.6021e+10
223.88	0.65838	0.027749	0.13682	2.2337	2.05e-05	16.904	0.43646	1.265e-06	0.71194	2.05e-05	2.4942e+08	2.4659e+07	1.265e-06	4.5098e+10
234.48	0.66331	0.03161	0.13936	2.2337	2.25e-05	18.65	0.43681	1.2826e-06	0.72446	2.25e-05	2.1368e+08	8.9084e+07	1.2826e-06	4.4193e+10
245.57	0.7	0.031422	0.14196	2.2337	2.45e-05	20.398	0.43712	1.3005e-06	0.73719	2.45e-05	6.3759e+07	5.4346e+07	1.3005e-06	4.3305e+10
257.13	0.53036	0.020094	0.1446	2.2337	2.65e-05	22.147	0.43729	1.3186e-06	0.75012	2.65e-05	7.3801e+07	2.0469e+07	1.3186e-06	4.2435e+10
269.29	0.5418	0.021632	0.14729	2.2337	2.85e-05	23.897	0.43744	1.337e-06	0.76326	2.85e-05	6.6733e+07	1.4222e+07	1.337e-06	4.158e+10
281.93	0.48628	0.018354	0.15003	2.2337	3.05e-05	25.647	0.43754	1.3556e-06	0.77661	3.05e-05	6.731e+06	1.1373e+07	1.3556e-06	4.0743e+10
295.16	0.44572	0.018397	0.15282	2.2337	3.3e-05	27.834	0.50513	1.3745e-06	0.79018	3.3e-05	9.0831e+06	6.8985e+07	1.3745e-06	3.9921e+10
309.11	0.39509	0.013757	0.15567	2.2338	3.55e-05	30.022	0.43729	1.3936e-06	0.80397	3.55e-05	1.8119e+08	9.5642e+07	1.3936e-06	3.9115e+10
323.65	0.40996	0.017181	0.15856	2.2338	3.8e-05	32.208	0.5048	1.413e-06	0.81797	3.8e-05	6.7553e+07	4.395e+07	1.413e-06	3.8325e+10
338.91	0.33232	0.011925	0.16151	2.2338	4.1e-05	34.83	0.50426	1.4327e-06	0.83221	4.1e-05	2.1198e+08	2.994e+07	1.4327e-06	3.755e+10
354.89	0.31289	0.011793	0.16452	2.2338	4.45e-05	37.884	0.56313	1.4527e-06	0.84666	4.45e-05	9.8751e+07	3.9297e+07	1.4527e-06	3.679e+10
371.58	0.30612	0.011324	0.16758	2.2338	4.85e-05	41.371	0.56196	1.4729e-06	0.86135	4.85e-05	2.7622e+08	9.5559e+07	1.4729e-06	3.6044e+10
389.1	0.27874	0.010148	0.1707	2.2338	5.25e-05	44.849	0.56072	1.4934e-06	0.87628	5.25e-05	3.1618e+08	5.634e+07	1.4934e-06	3.5313e+10
407.46	0.24329	0.0085998	0.17388	2.2338	5.65e-05	48.319	0.55896	1.5142e-06	0.89144	5.65e-05	3.1287e+08	5.1939e+07	1.5142e-06	3.4596e+10
426.65	0.23441	0.0076533	0.17711	2.2338	6.1e-05	52.208	0.61017	1.5353e-06	0.90685	6.1e-05	3.5132e+08	2.2992e+07	1.5353e-06	3.3894e+10
446.8	0.20678	0.0057737	0.18041	2.2338	6.6e-05	56.515	0.60794	1.5567e-06	0.9225	6.6e-05	3.2671e+08	2.85e+07	1.5567e-06	3.3204e+10
467.9	0.20222	0.0060411	0.18377	2.2338	7.1e-05	60.805	0.60552	1.5783e-06	0.9384	7.1e-05	3.4906e+08	7.2482e+07	1.5783e-06	3.2529e+10
489.95	0.19291	0.0054041	0.18719	2.2338	7.65e-05	65.504	0.65125	1.6003e-06	0.95455	7.65e-05	2.8762e+08	3.6407e+07	1.6003e-06	3.1866e+10
513.08	0.16553	0.0052641	0.19067	2.2338	8.25e-05	70.61	0.64859	1.6226e-06	0.97095	8.25e-05	3.3392e+08	5.3765e+07	1.6226e-06	3.1217e+10
537.16	0.15083	0.0044058	0.19422	2.2338	8.9e-05	76.114	0.68961	1.6452e-06	0.98762	8.9e-05	3.3578e+08	1.7903e+07	1.6452e-06	3.058e+10
562.43	0.1398	0.0045798	0.19783	2.2339	9.6e-05	82.009	0.68559	1.6681e-06	1.0046	9.6e-05	3.968e+08	4.9196e+07	1.6681e-06	2.9956e+10
