f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
5.0068	4.4169	0	0.1	3.7621	2e-06	0.85332	0	1e-06	0.33823	2e-06	1.1617e+10	0	1e-06	5.586e+10
5.2452	6.5317	0	0.10186	3.7621	3e-06	1.3864	0	1.0139e-06	0.34446	3e-06	1.4597e+10	0	1.0139e-06	5.4903e+10
5.4836	5.9106	0	0.10376	3.7621	4e-06	1.9486	0	1.028e-06	0.35081	4e-06	7.7846e+09	0	1.028e-06	5.3959e+10
5.722	3.5082	0	0.10569	3.7621	5e-06	2.5265	0	1.0424e-06	0.35726	5e-06	5.6387e+09	0	1.0424e-06	5.3028e+10
5.9605	3.5386	0	0.10765	3.7621	6e-06	3.1156	0	1.0569e-06	0.36383	6e-06	4.315e+09	0	1.0569e-06	5.211e+10
6.1989	6.4491	0	0.10966	3.7621	7e-06	3.7133	0	1.0716e-06	0.37051	7e-06	3.3018e+09	0	1.0716e-06	5.1206e+10
6.4373	5.1554	0	0.1117	3.7621	8e-06	4.3176	0	1.0865e-06	0.3773	8e-06	2.7384e+09	0	1.0865e-06	5.0314e+10
6.7949	4.8098	1.0463	0.11378	3.7621	9e-06	4.9275	0	1.1016e-06	0.38421	9e-06	2.2809e+09	0	1.1016e-06	4.9435e+10
7.1526	5.2849	0	0.11589	3.7621	1e-05	5.5418	0	1.117e-06	0.39124	1e-05	1.814e+09	0	1.117e-06	4.8568e+10
7.391	3.8414	0	0.11805	3.7621	1.1e-05	6.1598	0	1.1325e-06	0.3984	1.1e-05	1.5079e+09	0	1.1325e-06	4.7714e+10
7.7486	6.0984	1.0303	0.12025	3.7621	1.2e-05	6.7809	0	1.1483e-06	0.40567	1.2e-05	1.3211e+09	0	1.1483e-06	4.6872e+10
8.1062	7.219	0	0.12249	3.7621	1.3e-05	7.4045	0	1.1643e-06	0.41307	1.3e-05	1.1534e+09	0	1.1643e-06	4.6043e+10
8.4639	3.7251	1.483	0.12477	3.7621	1.4e-05	8.0305	0	1.1805e-06	0.4206	1.4e-05	1.0314e+09	0	1.1805e-06	4.5226e+10
8.9407	5.0816	1.0817	0.12709	3.7621	1.5e-05	8.6585	0	1.197e-06	0.42826	1.5e-05	8.0754e+08	0	1.197e-06	4.4421e+10
9.4175	3.3701	1.3885	0.12945	3.7621	1.65e-05	9.6037	0.31557	1.2136e-06	0.43605	1.65e-05	7.5792e+08	1.4059e+07	1.2136e-06	4.3628e+10
9.7752	1.8485	0	0.13186	3.7621	1.8e-05	10.552	0	1.2305e-06	0.44397	1.8e-05	6.877e+08	0	1.2305e-06	4.2847e+10
10.133	7.1021	1.1977	0.13432	3.7621	1.9e-05	11.186	0	1.2477e-06	0.45203	1.9e-05	6.2938e+08	0	1.2477e-06	4.2077e+10
10.61	3.3042	0.14126	0.13682	3.7621	2.05e-05	12.139	0.3181	1.265e-06	0.46022	2.05e-05	3.7136e+08	7.3591e+07	1.265e-06	4.132e+10
11.206	3.7958	0.43257	0.13936	3.7621	2.25e-05	13.413	0.3187	1.2826e-06	0.46856	2.25e-05	3.0589e+08	5.0286e+06	1.2826e-06	4.0573e+10
11.802	4.2719	0.95273	0.14196	3.7621	2.45e-05	14.689	0.31932	1.3005e-06	0.47703	2.45e-05	3.676e+08	6.1041e+07	1.3005e-06	3.9839e+10
