f(Hz) 	 psddata 	 psderror 	 f(Hz) 	 psdfit 	 t(s) 	 msddata 	 msderror 	 t(s) 	 msdfit 	 t(s) 	 vafdata 	 vaferror 	 t(s) 	 vaffit 
5.0068	4.298	0	0.1	5.085	2e-06	0.83034	0	1e-06	0.3122	2e-06	1.1305e+10	0	1e-06	5.6262e+10
5.2452	6.3558	0	0.10186	5.085	3e-06	1.3491	0	1.0139e-06	0.31809	3e-06	1.4204e+10	0	1.0139e-06	5.5292e+10
5.4836	5.7515	0	0.10376	5.085	4e-06	1.8962	0	1.028e-06	0.32409	4e-06	7.575e+09	0	1.028e-06	5.4336e+10
5.722	3.4138	0	0.10569	5.085	5e-06	2.4584	0	1.0424e-06	0.33019	5e-06	5.4869e+09	0	1.0424e-06	5.3393e+10
5.9605	3.4434	0	0.10765	5.085	6e-06	3.0317	0	1.0569e-06	0.3364	6e-06	4.1988e+09	0	1.0569e-06	5.2463e+10
6.1989	6.2754	0	0.10966	5.085	7e-06	3.6133	0	1.0716e-06	0.34272	7e-06	3.2129e+09	0	1.0716e-06	5.1547e+10
6.4373	5.0166	0	0.1117	5.085	8e-06	4.2014	0	1.0865e-06	0.34915	8e-06	2.6646e+09	0	1.0865e-06	5.0644e+10
6.7949	4.6803	1.0182	0.11378	5.085	9e-06	4.7948	0	1.1016e-06	0.3557	9e-06	2.2195e+09	0	1.1016e-06	4.9754e+10
7.1526	5.1426	0	0.11589	5.085	1e-05	5.3926	0	1.117e-06	0.36236	1e-05	1.7651e+09	0	1.117e-06	4.8877e+10
7.391	3.738	0	0.11805	5.085	1.1e-05	5.994	0	1.1325e-06	0.36913	1.1e-05	1.4673e+09	0	1.1325e-06	4.8012e+10
7.7486	5.9343	1.0026	0.12025	5.085	1.2e-05	6.5983	0	1.1483e-06	0.37602	1.2e-05	1.2855e+09	0	1.1483e-06	4.7161e+10
8.1062	7.0246	0	0.12249	5.085	1.3e-05	7.2052	0	1.1643e-06	0.38303	1.3e-05	1.1224e+09	0	1.1643e-06	4.6322e+10
8.4639	3.6248	1.4431	0.12477	5.085	1.4e-05	7.8143	0	1.1805e-06	0.39017	1.4e-05	1.0036e+09	0	1.1805e-06	4.5495e+10
8.9407	4.9448	1.0526	0.12709	5.085	1.5e-05	8.4254	0	1.197e-06	0.39743	1.5e-05	7.858e+08	0	1.197e-06	4.4681e+10
9.4175	3.2794	1.3511	0.12945	5.085	1.65e-05	9.3452	0.30707	1.2136e-06	0.40481	1.65e-05	7.3751e+08	1.3681e+07	1.2136e-06	4.3879e+10
9.7752	1.7987	0	0.13186	5.085	1.8e-05	10.268	0	1.2305e-06	0.41232	1.8e-05	6.6918e+08	0	1.2305e-06	4.3089e+10
10.133	6.9109	1.1654	0.13432	5.085	1.9e-05	10.885	0	1.2477e-06	0.41996	1.9e-05	6.1243e+08	0	1.2477e-06	4.2312e+10
10.61	3.2153	0.13745	0.13682	5.085	2.05e-05	11.813	0.30954	1.265e-06	0.42773	2.05e-05	3.6137e+08	7.161e+07	1.265e-06	4.1546e+10
11.206	3.6936	0.42093	0.13936	5.085	2.25e-05	13.052	0.31012	1.2826e-06	0.43564	2.25e-05	2.9765e+08	4.8932e+06	1.2826e-06	4.0792e+10
11.802	4.1569	0.92708	0.14196	5.085	2.45e-05	14.294	0.31072	1.3005e-06	0.44368	2.45e-05	3.577e+08	5.9398e+07	1.3005e-06	4.0049e+10
12.279	3.3234	0.039663	0.1446	5.085	2.65e-05	15.538	0.3113	1.3186e-06	0.45186	2.65e-05	1.3603e+08	3.0511e+07	1.3186e-06	3.9319e+10
12.875	4.8409	0.63485	0.14729	5.085	2.85e-05	16.784	0.31151	1.337e-06	0.46018	2.85e-05	8.3642e+07	2.0487e+07	1.337e-06	3.8599e+10
13.471	5.0201	0.75129	0.15003	5.085	3.05e-05	18.03	0.3117	1.3556e-06	0.46865	3.05e-05	6.3759e+07	5.7301e+07	1.3556e-06	3.7891e+10
14.067	3.0243	0.50886	0.15282	5.085	3.3e-05	19.588	0.35982	1.3745e-06	0.47726	3.3e-05	3.8503e+07	2.5513e+07	1.3745e-06	3.7194e+10
14.782	2.9758	0.93108	0.15567	5.0849	3.55e-05	21.146	0.31162	1.3936e-06	0.48601	3.55e-05	2.0441e+07	7.1334e+06	1.3936e-06	3.6508e+10
15.497	4.3132	1.3627	0.15856	5.0849	3.8e-05	22.704	0.35979	1.413e-06	0.49491	3.8e-05	3.2049e+07	2.7138e+07	1.413e-06	3.5834e+10
16.212	3.0934	0.21335	0.16151	5.0849	4.1e-05	24.574	0.35963	1.4327e-06	0.50397	4.1e-05	1.3085e+08	6.2292e+07	1.4327e-06	3.517e+10
16.928	2.9104	0.64221	0.16452	5.0849	4.45e-05	26.751	0.40133	1.4527e-06	0.51318	4.45e-05	1.1794e+08	1.9858e+07	1.4527e-06	3.4516e+10
17.762	4.0783	0.65738	0.16758	5.0849	4.85e-05	29.236	0.40073	1.4729e-06	0.52255	4.85e-05	1.2213e+08	3.3999e+07	1.4729e-06	3.3873e+10
18.597	5.6611	1.0025	0.1707	5.0849	5.25e-05	31.718	0.4003	1.4934e-06	0.53207	5.25e-05	4.4814e+07	4.3662e+07	1.4934e-06	3.3241e+10
19.431	4.4366	0.25573	0.17388	5.0849	5.65e-05	34.198	0.39993	1.5142e-06	0.54176	5.65e-05	1.1874e+08	1.4677e+07	1.5142e-06	3.2619e+10
20.385	2.5363	0.31489	0.17711	5.0849	6.1e-05	36.983	0.43719	1.5353e-06	0.55161	6.1e-05	1.3894e+08	2.3945e+07	1.5353e-06	3.2007e+10
21.338	3.765	0.76109	0.18041	5.0849	6.6e-05	40.07	0.43585	1.5567e-06	0.56162	6.6e-05	2.2025e+08	3.4022e+07	1.5567e-06	3.1406e+10
22.411	2.7314	0.37085	0.18377	5.0849	7.1e-05	43.148	0.43459	1.5783e-06	0.57181	7.1e-05	1.9693e+08	1.7544e+07	1.5783e-06	3.0814e+10
23.484	3.4006	0.32234	0.18719	5.0849	7.65e-05	46.52	0.46723	1.6003e-06	0.58216	7.65e-05	2.8161e+08	8.6376e+06	1.6003e-06	3.0232e+10
24.557	2.7799	0.54973	0.19067	5.0849	8.25e-05	50.182	0.46508	1.6226e-06	0.59269	8.25e-05	2.086e+08	1.3756e+07	1.6226e-06	2.966e+10
25.749	2.7756	0.39001	0.19422	5.0849	8.9e-05	54.131	0.49486	1.6452e-06	0.6034	8.9e-05	2.315e+08	2.1206e+07	1.6452e-06	2.9097e+10
26.941	2.8747	0.41795	0.19783	5.0849	9.6e-05	58.362	0.49257	1.6681e-06	0.61429	9.6e-05	1.6528e+08	2.823e+07	1.6681e-06	2.8544e+10
28.133	3.5058	0.21257	0.20151	5.0849	0.0001035	62.876	0.5198	1.6913e-06	0.62535	0.0001035	2.4879e+08	1.9571e+07	1.6913e-06	2.8e+10
29.445	2.5733	0.30466	0.20526	5.0849	0.000112	67.959	0.54382	1.7149e-06	0.63661	0.000112	2.601e+08	2.0257e+07	1.7149e-06	2.7466e+10
30.875	2.6628	0.27522	0.20908	5.0849	0.000121	73.297	0.53897	1.7388e-06	0.64805	0.000121	3.3226e+08	1.0227e+07	1.7388e-06	2.694e+10
32.306	2.8148	0.24421	0.21297	5.0849	0.0001305	78.878	0.56	1.763e-06	0.65968	0.0001305	2.6226e+08	1.8952e+07	1.763e-06	2.6424e+10
